source,event_id,material_id,path,target,converged,max_force,n_images,elements
external:mp-760344_7_4_0_1_0_regenerated,mp-760344_7_4_0_1_0_regenerated,mp-760344,/Users/hongyuli/MScProj/data/bvse_generated_1000/mp-760344_7_4_0_1_0_regenerated.xyz,0.8473214225163928,True,0.07332573061957169,5,3 6 8 11 15 27
external:mp-3635_0_3_0_0_0_regenerated,mp-3635_0_3_0_0_0_regenerated,mp-3635,/Users/hongyuli/MScProj/data/bvse_generated_1000/mp-3635_0_3_0_0_0_regenerated.xyz,0.5075303214196303,True,0.05857631348758043,5,3 5 8
external:mp-755369_6_3_0_0_1_regenerated,mp-755369_6_3_0_0_1_regenerated,mp-755369,/Users/hongyuli/MScProj/data/bvse_generated_1000/mp-755369_6_3_0_0_1_regenerated.xyz,4.676323954133961,True,0.08600429517993297,7,3 8 23 31
external:mp-1222591_0_0_0_1_0_regenerated,mp-1222591_0_0_0_1_0_regenerated,mp-1222591,/Users/hongyuli/MScProj/data/bvse_generated_1000/mp-1222591_0_0_0_1_0_regenerated.xyz,1.5617049163514005,True,0.0869974206951575,5,3 8 13 27
external:mp-34038_4_4_0_1_0_regenerated,mp-34038_4_4_0_1_0_regenerated,mp-34038,/Users/hongyuli/MScProj/data/bvse_generated_1000/mp-34038_4_4_0_1_0_regenerated.xyz,0.16348940034196646,True,0.07237858390513431,5,3 7 17
external:mp-25465_1_0_0_0_1_regenerated,mp-25465_1_0_0_0_1_regenerated,mp-25465,/Users/hongyuli/MScProj/data/bvse_generated_1000/mp-25465_1_0_0_0_1_regenerated.xyz,1.6865359134078988,True,0.06585461553993374,5,3 8 9 15 27
external:mp-755369_11_7_0_1_0_regenerated,mp-755369_11_7_0_1_0_regenerated,mp-755369,/Users/hongyuli/MScProj/data/bvse_generated_1000/mp-755369_11_7_0_1_0_regenerated.xyz,4.764569729028725,True,0.05887127329574527,7,3 8 23 31
external:mp-1176994_9_9_1_0_0_regenerated,mp-1176994_9_9_1_0_0_regenerated,mp-1176994,/Users/hongyuli/MScProj/data/bvse_generated_1000/mp-1176994_9_9_1_0_0_regenerated.xyz,4.547962008711862,True,0.0876921624145432,7,3 8 14 23
external:mp-1020056_2_2_1_1_0_regenerated,mp-1020056_2_2_1_1_0_regenerated,mp-1020056,/Users/hongyuli/MScProj/data/bvse_generated_1000/mp-1020056_2_2_1_1_0_regenerated.xyz,3.1829772889454064,True,0.07426938725386067,7,3 7 14 20
external:mp-753791_0_2_1_1_0_regenerated,mp-753791_0_2_1_1_0_regenerated,mp-753791,/Users/hongyuli/MScProj/data/bvse_generated_1000/mp-753791_0_2_1_1_0_regenerated.xyz,1.1064964697129966,True,0.08444035288723355,7,3 8 14 23
external:mp-1277589_2_0_1_0_0_regenerated,mp-1277589_2_0_1_0_0_regenerated,mp-1277589,/Users/hongyuli/MScProj/data/bvse_generated_1000/mp-1277589_2_0_1_0_0_regenerated.xyz,0.4637616306945562,True,0.06288383887645513,5,3 8 22 26
external:mp-755839_0_5_0_0_0_regenerated,mp-755839_0_5_0_0_0_regenerated,mp-755839,/Users/hongyuli/MScProj/data/bvse_generated_1000/mp-755839_0_5_0_0_0_regenerated.xyz,0.9541269759663367,True,0.0734131792735172,7,3 8 23 24
external:mp-755369_6_0_1_0_1_regenerated,mp-755369_6_0_1_0_1_regenerated,mp-755369,/Users/hongyuli/MScProj/data/bvse_generated_1000/mp-755369_6_0_1_0_1_regenerated.xyz,1.36987906657419,True,0.07891291679048784,5,3 8 23 31
external:mp-752552_2_7_0_1_1_regenerated,mp-752552_2_7_0_1_1_regenerated,mp-752552,/Users/hongyuli/MScProj/data/bvse_generated_1000/mp-752552_2_7_0_1_1_regenerated.xyz,0.45847619595883904,True,0.07329072448510729,5,3 6 8 23
external:mp-758720_0_3_1_0_0_regenerated,mp-758720_0_3_1_0_0_regenerated,mp-758720,/Users/hongyuli/MScProj/data/bvse_generated_1000/mp-758720_0_3_1_0_0_regenerated.xyz,0.7226269438233806,True,0.08751323493494856,5,3 9 29
external:mp-769036_8_10_0_0_0_regenerated,mp-769036_8_10_0_0_0_regenerated,mp-769036,/Users/hongyuli/MScProj/data/bvse_generated_1000/mp-769036_8_10_0_0_0_regenerated.xyz,0.7852352963649829,True,0.07837831894943713,5,3 16 41
external:mp-768508_3_7_0_0_0_regenerated,mp-768508_3_7_0_0_0_regenerated,mp-768508,/Users/hongyuli/MScProj/data/bvse_generated_1000/mp-768508_3_7_0_0_0_regenerated.xyz,0.6316523645274505,True,0.0670033198205745,5,3 6 8 15 26
external:mp-770939_10_9_1_0_0_regenerated,mp-770939_10_9_1_0_0_regenerated,mp-770939,/Users/hongyuli/MScProj/data/bvse_generated_1000/mp-770939_10_9_1_0_0_regenerated.xyz,0.6006892218771172,True,0.07138546927693366,5,3 6 8 26 33
external:mp-753882_4_5_0_0_0_regenerated,mp-753882_4_5_0_0_0_regenerated,mp-753882,/Users/hongyuli/MScProj/data/bvse_generated_1000/mp-753882_4_5_0_0_0_regenerated.xyz,0.9355889972599687,True,0.07719266318680153,5,3 6 8 15 23 25
external:mp-757714_2_3_0_0_0_regenerated,mp-757714_2_3_0_0_0_regenerated,mp-757714,/Users/hongyuli/MScProj/data/bvse_generated_1000/mp-757714_2_3_0_0_0_regenerated.xyz,0.42933790285574935,True,0.07713504949248527,5,3 8 15 24 28
external:mp-759753_4_0_0_0_1_regenerated,mp-759753_4_0_0_0_1_regenerated,mp-759753,/Users/hongyuli/MScProj/data/bvse_generated_1000/mp-759753_4_0_0_0_1_regenerated.xyz,0.4782247171103122,True,0.0799758096917425,7,3 8 15 23 24
external:mp-776806_3_2_1_1_0_regenerated,mp-776806_3_2_1_1_0_regenerated,mp-776806,/Users/hongyuli/MScProj/data/bvse_generated_1000/mp-776806_3_2_1_1_0_regenerated.xyz,0.5422857896026747,True,0.057705005092532,5,3 8 23 26 50
external:mp-753340_2_3_0_0_0_regenerated,mp-753340_2_3_0_0_0_regenerated,mp-753340,/Users/hongyuli/MScProj/data/bvse_generated_1000/mp-753340_2_3_0_0_0_regenerated.xyz,0.3091385287535421,True,0.0733786881402965,5,3 9 23
external:mp-774843_2_0_0_1_0_regenerated,mp-774843_2_0_0_1_0_regenerated,mp-774843,/Users/hongyuli/MScProj/data/bvse_generated_1000/mp-774843_2_0_0_1_0_regenerated.xyz,9.398246934939921,True,0.04960535287613059,7,3 8 23 27 50
