fold,scenario,method,n_test,mae,rmse,median_ae,r2,spearman
0,affine_bvse,affine_em_bvse,335,0.30015694625332257,0.41145088468523316,0.22857521413986276,0.7345369480728351,0.7087822223357124
0,bvse_calibrated_delta,positional,335,0.24104315463768608,0.34519153780752493,0.15594260891278583,0.8131520387469672,0.7782314901114615
0,dft_path,crystal,335,0.4888970545442099,0.768445245541028,0.30044071873029077,0.07403635039124834,0.34832081931254094
0,dft_path,midpoint,335,0.32696342759056773,0.5059383254152182,0.21408029397328687,0.5986130577426257,0.7231231566717312
0,dft_path,positional,335,0.28083306797293583,0.4584615274561253,0.17036967476209008,0.6704101140069507,0.787746575080117
0,dft_path,trajectory,335,0.34562745141931134,0.5073679404340217,0.24714502195517224,0.5963414783911356,0.6515244564176552
1,affine_bvse,affine_em_bvse,307,0.3588209110723305,0.521264965061568,0.24206238218641274,0.5823422611178164,0.5935949150166433
1,bvse_calibrated_delta,positional,307,0.2746308237722752,0.4257216149200805,0.17188477516174316,0.7214168400291916,0.7813815487699374
1,dft_path,crystal,307,0.5461965290350227,0.8240598843014492,0.3527098397413889,-0.04380892119173385,0.18190203373706607
1,dft_path,midpoint,307,0.32136893779015113,0.5016874927281015,0.1890666584173838,0.613125587823564,0.7770351255693276
1,dft_path,positional,307,0.2878450890628866,0.44647733577989546,0.179539402325948,0.6935904518278382,0.7808320248442878
1,dft_path,trajectory,307,0.3307871810634834,0.5074820508977467,0.19551682472229004,0.6041370733806768,0.6712511477792182
2,affine_bvse,affine_em_bvse,324,0.306096040457874,0.44086495516070673,0.21884958673255964,0.6984722422319598,0.6554015506337489
2,bvse_calibrated_delta,positional,324,0.2534717928317333,0.3833952274276776,0.17527571320533747,0.7719607746450026,0.789140624310903
2,dft_path,crystal,324,0.48199237476739215,0.7845956133473747,0.29323869198560715,0.04499003421422065,0.266635642228366
2,dft_path,midpoint,324,0.2913648179826162,0.4595653975504124,0.18707501888275146,0.6723495299551481,0.7128455628765228
2,dft_path,positional,324,0.2752908103986272,0.42307983614871175,0.16794644420345625,0.7223096376306605,0.7442428091344501
2,dft_path,trajectory,324,0.34348542318265474,0.536156300257914,0.22403921683629358,0.5540368446835358,0.6293205613329453
3,affine_bvse,affine_em_bvse,348,0.282504853427949,0.4151732142551449,0.20412245636932766,0.6549729250347986,0.7018610831987703
3,bvse_calibrated_delta,positional,348,0.2337711731978189,0.3758597262290923,0.16533699880043667,0.7172216802646145,0.7304081706452785
3,dft_path,crystal,348,0.40426666601436123,0.6902519780661248,0.2194130246837934,0.04630425903714108,0.4030219090470769
3,dft_path,midpoint,348,0.29754788988765857,0.45445496899629784,0.18634275098641714,0.586594513464021,0.674197541164019
3,dft_path,positional,348,0.2500420275333398,0.3887059518876382,0.16089090704917916,0.6975616189313385,0.7133998502841838
3,dft_path,trajectory,348,0.3120087253222406,0.4617446408400658,0.2029286672671636,0.5732257079849365,0.6027462516233687
4,affine_bvse,affine_em_bvse,367,0.3348096439065554,0.5019559959724714,0.2238507605185267,0.6248382694147556,0.6529425073946253
4,bvse_calibrated_delta,positional,367,0.23848300368916736,0.39898127293873614,0.1464816927909851,0.7629760315566417,0.7813820035307758
4,dft_path,crystal,367,0.486355357669754,0.76366549967004,0.32277917861938477,0.1316524494596465,0.343064880521612
4,dft_path,midpoint,367,0.325257611851784,0.5602922595517327,0.21197299659252167,0.5325701021352058,0.6558207305870449
4,dft_path,positional,367,0.28523166174429393,0.4657343736945245,0.17699087659517926,0.6770287780095126,0.7274985871070362
4,dft_path,trajectory,367,0.3138551446689558,0.5406817424297721,0.20003292957941687,0.5647180571369068,0.6598435912923067
