fold,scenario,method,seed,best_epoch,trained_epochs,n_test,mae,rmse,median_ae,r2,spearman
0,affine_bvse,affine_em_bvse,7,0,0,335,0.3001569462533225,0.41145088468523316,0.22857521413986276,0.7345369480728351,0.7087822223357124
0,affine_bvse,affine_em_bvse,17,0,0,335,0.3001569462533225,0.41145088468523316,0.22857521413986276,0.7345369480728351,0.7087822223357124
0,affine_bvse,affine_em_bvse,29,0,0,335,0.3001569462533225,0.41145088468523316,0.22857521413986276,0.7345369480728351,0.7087822223357124
0,bvse_calibrated_delta,positional,7,11,31,335,0.2559476937097845,0.3580403017469776,0.1858767867088318,0.7989834055242598,0.7418899939992084
0,bvse_calibrated_delta,positional,17,18,38,335,0.25563286215400516,0.3639143541962734,0.17736020684242249,0.7923334946647542,0.7708658376211331
0,bvse_calibrated_delta,positional,29,7,27,335,0.25447442680041293,0.3603007914563894,0.1840735673904419,0.7964371538490158,0.7580235052283494
0,dft_path,crystal,7,18,38,335,0.4991082756543782,0.7858189568949301,0.29533904790878296,0.03169296975006075,0.2996977338939969
0,dft_path,crystal,17,38,58,335,0.5122891401343826,0.7733959981900169,0.34121203422546387,0.06206676880156292,0.33920152558425914
0,dft_path,crystal,29,4,24,335,0.4895692502551559,0.777818106379139,0.30102208256721497,0.051310313156097354,0.3387840287476586
0,dft_path,midpoint,7,33,53,335,0.3394409361337103,0.5162687041501416,0.2345033884048462,0.5820544739763428,0.7050428992760748
0,dft_path,midpoint,17,26,46,335,0.3464223353887227,0.5552853621774966,0.2078428566455841,0.5164954864228958,0.6822427639390729
0,dft_path,midpoint,29,9,29,335,0.3316295426005303,0.5092942900961404,0.2094750702381134,0.5932704778507107,0.7056442551996222
0,dft_path,positional,7,7,27,335,0.29951784648001195,0.48241533836889555,0.19445472955703735,0.6350693861741484,0.7212670607612068
0,dft_path,positional,17,50,70,335,0.28500741543943314,0.46362847346933683,0.17742085456848145,0.6629391728017522,0.7899030297613728
0,dft_path,positional,29,10,30,335,0.32560402730396437,0.5068507662183999,0.19675445556640625,0.5971639796346211,0.7579108307904447
0,dft_path,trajectory,7,23,43,335,0.356011268646637,0.5351737660224392,0.2502096891403198,0.5508848401427798,0.6176480727244871
0,dft_path,trajectory,17,20,40,335,0.360128222222426,0.5410796465757604,0.2421647310256958,0.540917775319816,0.5766744762074998
0,dft_path,trajectory,29,9,29,335,0.37396356122596053,0.550685076099783,0.24986321479082108,0.5244735306752863,0.6048102090062945
1,affine_bvse,affine_em_bvse,7,0,0,307,0.35882091107233055,0.521264965061568,0.24206238218641274,0.5823422611178164,0.5935949150166433
