fold,split,source,material_id
0,train,nebDFT2k:mp-1020023_5_4_0_1_0,mp-1020023
0,train,nebDFT2k:mp-1020023_0_9_1_0_0,mp-1020023
0,train,nebDFT2k:mp-1101478_8_11_1_0_0,mp-1101478
0,train,nebDFT2k:mp-1147685_5_17_0_0_0,mp-1147685
0,train,nebDFT2k:mp-1147693_8_5_1_0_0,mp-1147693
0,train,nebDFT2k:mp-1147695_3_5_0_0_0,mp-1147695
0,train,nebDFT2k:mp-1147697_4_6_0_0_0,mp-1147697
0,train,nebDFT2k:mp-1147698_2_9_0_0_0,mp-1147698
0,train,nebDFT2k:mp-11737_2_5_0_0_0,mp-11737
0,train,nebDFT2k:mp-11737_1_6_0_0_1,mp-11737
0,train,nebDFT2k:mp-1174039_0_0_1_-1_0,mp-1174039
0,train,nebDFT2k:mp-1174064_0_4_0_1_0,mp-1174064
0,train,nebDFT2k:mp-1174364_2_2_1_0_-1,mp-1174364
0,train,nebDFT2k:mp-1174645_6_3_1_1_0,mp-1174645
0,train,nebDFT2k:mp-1175148_9_0_0_0_1,mp-1175148
0,train,nebDFT2k:mp-1175354_11_8_0_1_0,mp-1175354
0,train,nebDFT2k:mp-1175472_8_8_1_0_0,mp-1175472
0,train,nebDFT2k:mp-1175764_5_3_0_1_0,mp-1175764
0,train,nebDFT2k:mp-1176627_2_7_0_1_0,mp-1176627
0,train,nebDFT2k:mp-1176627_4_7_0_0_0,mp-1176627
0,train,nebDFT2k:mp-1176627_2_6_0_1_0,mp-1176627
0,train,nebDFT2k:mp-1176627_1_7_0_1_0,mp-1176627
0,train,nebDFT2k:mp-1176698_1_1_0_1_0,mp-1176698
0,train,nebDFT2k:mp-1176748_0_0_0_0_1,mp-1176748
0,train,nebDFT2k:mp-1176809_2_6_0_1_0,mp-1176809
0,train,nebDFT2k:mp-1176813_0_0_0_1_0,mp-1176813
0,train,nebDFT2k:mp-1176851_11_0_1_1_0,mp-1176851
0,train,nebDFT2k:mp-1176851_3_0_1_0_0,mp-1176851
0,train,nebDFT2k:mp-1176895_6_7_0_0_1,mp-1176895
0,train,nebDFT2k:mp-1176895_1_5_0_0_0,mp-1176895
0,train,nebDFT2k:mp-1176895_4_0_1_0_0,mp-1176895
0,train,nebDFT2k:mp-1176895_4_6_0_0_0,mp-1176895
0,train,nebDFT2k:mp-1176895_5_1_1_0_0,mp-1176895
0,train,nebDFT2k:mp-1176895_3_1_0_1_0,mp-1176895
0,train,nebDFT2k:mp-1176895_6_4_0_1_0,mp-1176895
0,train,nebDFT2k:mp-1176895_0_4_0_0_0,mp-1176895
0,train,nebDFT2k:mp-1176895_4_5_0_0_0,mp-1176895
0,train,nebDFT2k:mp-1177182_2_1_0_1_0,mp-1177182
0,train,nebDFT2k:mp-1177182_0_1_0_0_0,mp-1177182
0,train,nebDFT2k:mp-1177182_2_3_1_0_0,mp-1177182
0,train,nebDFT2k:mp-1177252_14_26_0_0_0,mp-1177252
0,train,nebDFT2k:mp-1177252_22_27_0_0_0,mp-1177252
0,train,nebDFT2k:mp-1177269_1_0_1_0_0,mp-1177269
0,train,nebDFT2k:mp-1177269_2_3_1_-1_0,mp-1177269
0,train,nebDFT2k:mp-1177360_0_1_0_1_0,mp-1177360
0,train,nebDFT2k:mp-1177512_3_5_0_0_0,mp-1177512
0,train,nebDFT2k:mp-1177652_4_1_1_1_0,mp-1177652
0,train,nebDFT2k:mp-1177652_2_0_1_0_0,mp-1177652
0,train,nebDFT2k:mp-1177747_19_31_0_0_0,mp-1177747
0,train,nebDFT2k:mp-1177776_0_2_0_0_0,mp-1177776
0,train,nebDFT2k:mp-1177806_3_1_1_1_0,mp-1177806
0,train,nebDFT2k:mp-1177806_5_5_1_0_0,mp-1177806
0,train,nebDFT2k:mp-1177833_1_0_1_1_0,mp-1177833
0,train,nebDFT2k:mp-1177833_2_3_0_0_1,mp-1177833
0,train,nebDFT2k:mp-1177947_1_7_0_1_0,mp-1177947
0,train,nebDFT2k:mp-1177952_1_2_0_1_1,mp-1177952
0,train,nebDFT2k:mp-1177952_1_2_0_1_0,mp-1177952
0,train,nebDFT2k:mp-1177952_0_0_0_1_0,mp-1177952
0,train,nebDFT2k:mp-1177952_0_1_0_0_0,mp-1177952
0,train,nebDFT2k:mp-1178079_10_8_0_0_1,mp-1178079
0,train,nebDFT2k:mp-1178079_4_5_0_0_0,mp-1178079
0,train,nebDFT2k:mp-1178101_1_8_1_0_0,mp-1178101
0,train,nebDFT2k:mp-1178153_10_9_0_0_1,mp-1178153
0,train,nebDFT2k:mp-1178153_10_12_0_0_0,mp-1178153
0,train,nebDFT2k:mp-1178153_10_15_0_0_1,mp-1178153
0,train,nebDFT2k:mp-1178153_16_11_1_-1_0,mp-1178153
0,train,nebDFT2k:mp-1178153_17_8_1_0_0,mp-1178153
0,train,nebDFT2k:mp-1178153_12_13_0_0_0,mp-1178153
0,train,nebDFT2k:mp-1178558_4_18_0_0_0,mp-1178558
0,train,nebDFT2k:mp-1178558_8_12_0_0_0,mp-1178558
0,train,nebDFT2k:mp-1178558_4_13_0_1_0,mp-1178558
0,train,nebDFT2k:mp-1191302_0_1_0_1_0,mp-1191302
0,train,nebDFT2k:mp-1194301_0_0_1_0_0,mp-1194301
0,train,nebDFT2k:mp-1194301_5_4_0_0_1,mp-1194301
0,train,nebDFT2k:mp-1194301_4_4_1_0_0,mp-1194301
0,train,nebDFT2k:mp-1194301_2_4_0_0_0,mp-1194301
0,train,nebDFT2k:mp-1194301_2_2_1_0_0,mp-1194301
0,train,nebDFT2k:mp-1198701_10_17_0_0_0,mp-1198701
0,train,nebDFT2k:mp-1198701_11_10_0_0_1,mp-1198701
0,train,nebDFT2k:mp-1198701_7_9_0_1_0,mp-1198701
0,train,nebDFT2k:mp-1198701_12_16_0_0_0,mp-1198701
0,train,nebDFT2k:mp-1198701_2_11_0_0_0,mp-1198701
0,train,nebDFT2k:mp-1198701_0_17_1_0_0,mp-1198701
0,train,nebDFT2k:mp-1199122_0_5_0_0_1,mp-1199122
0,train,nebDFT2k:mp-1199122_0_18_0_0_0,mp-1199122
0,train,nebDFT2k:mp-1202801_12_14_0_0_0,mp-1202801
0,train,nebDFT2k:mp-1202801_10_12_0_0_0,mp-1202801
0,train,nebDFT2k:mp-1202801_6_13_0_0_1,mp-1202801
0,train,nebDFT2k:mp-1202801_4_6_0_0_0,mp-1202801
0,train,nebDFT2k:mp-1208770_6_7_0_0_0,mp-1208770
0,train,nebDFT2k:mp-1208770_10_14_0_0_0,mp-1208770
0,train,nebDFT2k:mp-1208770_6_17_0_0_0,mp-1208770
0,train,nebDFT2k:mp-1208770_6_10_0_0_0,mp-1208770
0,train,nebDFT2k:mp-1211142_4_7_0_0_0,mp-1211142
0,train,nebDFT2k:mp-1211142_9_14_0_0_0,mp-1211142
0,train,nebDFT2k:mp-1211142_7_0_0_0_1,mp-1211142
0,train,nebDFT2k:mp-1211142_10_12_0_0_0,mp-1211142
0,train,nebDFT2k:mp-1211142_11_13_0_0_0,mp-1211142
