cutoff,sigma,variant,seed,test_mae
2.5,1.2,unordered,7,0.31451149013909424
2.5,1.2,unordered,17,0.3364987980235707
2.5,1.2,unordered,29,0.32636178908022967
2.5,1.2,positional,7,0.30591790080070497
2.5,1.2,positional,17,0.3152253039858558
2.5,1.2,positional,29,0.32624728232622147
3.0,1.5,unordered,7,0.35792429569092665
3.0,1.5,unordered,17,0.37887337092648854
3.0,1.5,unordered,29,0.34928687113252554
3.0,1.5,positional,7,0.2754965756427158
3.0,1.5,positional,17,0.32325097132812847
3.0,1.5,positional,29,0.30173623717644
3.5,1.8,unordered,7,0.42807608341628856
3.5,1.8,unordered,17,0.3853923873467879
3.5,1.8,unordered,29,0.4115135925059969
3.5,1.8,positional,7,0.2822551980614662
3.5,1.8,positional,17,0.2874794588847594
3.5,1.8,positional,29,0.2937486383725296
