cutoff,sigma,variant,seed,test_mae
2.5,1.2,unordered,7,0.31451149013909424
2.5,1.2,unordered,17,0.3364987980235707
2.5,1.2,unordered,29,0.32636178908022967
2.5,1.2,unordered,43,0.36878359128128396
2.5,1.2,unordered,71,0.32902457090941345
2.5,1.2,unordered,89,0.33456032872200014
2.5,1.2,unordered,101,0.318756164745851
2.5,1.2,unordered,131,0.35268186195330187
2.5,1.2,unordered,167,0.3328833989121697
2.5,1.2,unordered,197,0.3256754980845885
2.5,1.2,positional,7,0.30591790080070497
2.5,1.2,positional,17,0.3152253039858558
2.5,1.2,positional,29,0.32624728232622147
2.5,1.2,positional,43,0.31278672448613426
2.5,1.2,positional,71,0.301373066008091
2.5,1.2,positional,89,0.3012866516004909
2.5,1.2,positional,101,0.3240953453562476
2.5,1.2,positional,131,0.3168858937241814
2.5,1.2,positional,167,0.30489937534386463
2.5,1.2,positional,197,0.2913654625415802
3.0,1.5,unordered,7,0.35792429569092665
3.0,1.5,unordered,17,0.37887337092648854
3.0,1.5,unordered,29,0.34928687113252554
3.0,1.5,unordered,43,0.35459933402863414
3.0,1.5,unordered,71,0.3367689551277594
3.0,1.5,unordered,89,0.36414880075237965
3.0,1.5,unordered,101,0.3761087525297295
3.0,1.5,unordered,131,0.35122954804788936
3.0,1.5,unordered,167,0.38176514621485363
3.0,1.5,unordered,197,0.365638890388337
3.0,1.5,positional,7,0.2754965756427158
3.0,1.5,positional,17,0.32325097132812847
3.0,1.5,positional,29,0.30173623717644
3.0,1.5,positional,43,0.2851599280807105
3.0,1.5,positional,71,0.28962006318298256
3.0,1.5,positional,89,0.28788159001957286
3.0,1.5,positional,101,0.30199009735475885
3.0,1.5,positional,131,0.31187032474712895
3.0,1.5,positional,167,0.2727927965874022
3.0,1.5,positional,197,0.2919051254337484
3.5,1.8,unordered,7,0.42807608341628856
3.5,1.8,unordered,17,0.3853923873467879
3.5,1.8,unordered,29,0.4115135925059969
3.5,1.8,unordered,43,0.5492912736128677
3.5,1.8,unordered,71,0.4330590845509009
3.5,1.8,unordered,89,0.4600775279782035
3.5,1.8,unordered,101,0.4476205210794102
3.5,1.8,unordered,131,0.40807313587177885
3.5,1.8,unordered,167,0.44518769695000215
3.5,1.8,unordered,197,0.4565658085725524
3.5,1.8,positional,7,0.2822551980614662
3.5,1.8,positional,17,0.2874794588847594
3.5,1.8,positional,29,0.2937486383725296
3.5,1.8,positional,43,0.29915830289775674
3.5,1.8,positional,71,0.29347559240731325
3.5,1.8,positional,89,0.29423999258063055
3.5,1.8,positional,101,0.3125723929567771
3.5,1.8,positional,131,0.3051456451416016
3.5,1.8,positional,167,0.2923877004195343
3.5,1.8,positional,197,0.2905967792326754
