variant,seed,mean_abs_forward_reverse_difference,median_abs_forward_reverse_difference
midpoint,7,0.0,0.0
midpoint,17,0.0,0.0
midpoint,29,0.0,0.0
midpoint,43,0.0,0.0
midpoint,71,0.0,0.0
midpoint,89,0.0,0.0
midpoint,101,0.0,0.0
midpoint,131,0.0,0.0
midpoint,167,0.0,0.0
midpoint,197,0.0,0.0
unordered,7,0.0,0.0
unordered,17,0.0,0.0
unordered,29,0.0,0.0
unordered,43,0.0,0.0
unordered,71,0.0,0.0
unordered,89,0.0,0.0
unordered,101,0.0,0.0
unordered,131,0.0,0.0
unordered,167,0.0,0.0
unordered,197,0.0,0.0
shuffled_s,7,0.06585595336827364,0.045429378747940063
shuffled_s,17,0.08388977199792862,0.055341362953186035
shuffled_s,29,0.06292870437557047,0.03614073991775513
shuffled_s,43,0.07229205126112158,0.04196913540363312
shuffled_s,71,0.06933135390281678,0.052761152386665344
shuffled_s,89,0.06016064787452871,0.04604989290237427
shuffled_s,101,0.05025037032636729,0.02575850486755371
shuffled_s,131,0.08867611952803352,0.06107708811759949
shuffled_s,167,0.05595233982259577,0.037547528743743896
shuffled_s,197,0.07326099642298438,0.04305380582809448
positional,7,0.18172927512363954,0.09978741407394409
positional,17,0.17489426406947048,0.11302629113197327
positional,29,0.13857466693628917,0.10128942131996155
positional,43,0.14152246225963938,0.09433838725090027
positional,71,0.21889966780489142,0.14481432735919952
positional,89,0.1404987935315479,0.09850838780403137
positional,101,0.18735155551271004,0.13899104297161102
positional,131,0.17175102721561086,0.1405126452445984
positional,167,0.14251643771475012,0.09879174828529358
positional,197,0.14192485416477377,0.08532153069972992
positional_invariant,7,1.2056394056840376e-08,0.0
positional_invariant,17,1.3004649769176136e-08,0.0
positional_invariant,29,1.8558718941428443e-08,0.0
positional_invariant,43,1.2598254463889382e-08,0.0
positional_invariant,71,2.3977323011918502e-08,0.0
positional_invariant,89,8.53430141102184e-09,0.0
positional_invariant,101,1.8829649144952948e-08,0.0
positional_invariant,131,1.5578486702658913e-08,0.0
positional_invariant,167,1.4494765888560903e-08,0.0
positional_invariant,197,7.179650393399325e-09,0.0
