variant,orientation,n_seeds,mae_mean,mae_sd
midpoint,forward,10,0.3604906858232888,0.02026353288987795
midpoint,inference_symmetrised,10,0.3604906858232888,0.02026353288987795
midpoint,reverse,10,0.3604906858232888,0.02026353288987795
positional,forward,10,0.29417037095535886,0.01573970540701457
positional,inference_symmetrised,10,0.3051130265268412,0.016349276988198817
positional,reverse,10,0.3414171404391527,0.024554386939508892
positional_invariant,forward,10,0.3047493589059873,0.020583763525067685
positional_invariant,inference_symmetrised,10,0.30474935906177225,0.020583763536001994
positional_invariant,reverse,10,0.304749359217557,0.020583763546936532
shuffled_s,forward,10,0.317630908482454,0.018829907456498672
shuffled_s,inference_symmetrised,10,0.3147361061959104,0.018675512232754807
shuffled_s,reverse,10,0.31820938164537604,0.01962827393510803
unordered,forward,10,0.3616343964839523,0.014439774877124572
unordered,inference_symmetrised,10,0.3616343964839523,0.014439774877124572
unordered,reverse,10,0.3616343964839523,0.014439774877124572
