seed,orientation,n,mae,rmse,median_ae
7,forward,220,0.306046072664586,0.4791564956871381,0.17548337578773499
7,reverse,220,0.30746133943850346,0.4831234511054425,0.16994216293096542
7,inference_symmetrised,220,0.3064468487419865,0.4797904274923498,0.1670839786529541
17,forward,220,0.30026033182035794,0.48340645869442844,0.1711936891078949
17,reverse,220,0.3091126664118333,0.4889002094663196,0.18404460698366165
17,inference_symmetrised,220,0.3036882181736556,0.485382558998658,0.18178299069404602
29,forward,220,0.29196740673346955,0.4570163308186885,0.17765188217163086
29,reverse,220,0.29234416498379273,0.45469972858993507,0.18168464303016663
29,inference_symmetrised,220,0.2914423320781101,0.4552625249599123,0.17899542301893234
43,forward,220,0.3101221941411495,0.4646962915968377,0.1838642805814743
43,reverse,220,0.3165854629467834,0.4712567489269906,0.1882486641407013
43,inference_symmetrised,220,0.3129540446129712,0.4676737667755952,0.18637583777308464
71,forward,220,0.28738300238143316,0.46036159380775765,0.159894198179245
71,reverse,220,0.28435703177343713,0.4539711689775348,0.15453364700078964
71,inference_symmetrised,220,0.28349260948598387,0.45465554322149637,0.15813487023115158
89,forward,220,0.29537918838587673,0.4479031295967417,0.18168039619922638
89,reverse,220,0.29092406142841687,0.44681524288782687,0.1859137862920761
89,inference_symmetrised,220,0.2923199088736014,0.4467302573009875,0.1825972944498062
101,forward,220,0.28882782289927655,0.45405555707726775,0.16574278473854065
101,reverse,220,0.2908148323947733,0.4526331049951295,0.1618148535490036
101,inference_symmetrised,220,0.28971862369640305,0.45300763734459654,0.16671381890773773
131,forward,220,0.3014780133285306,0.4287946646197403,0.21248759329319
131,reverse,220,0.32361397926102986,0.44667961170266696,0.21777787804603577
131,inference_symmetrised,220,0.3119708949192004,0.4357650797800546,0.21167860180139542
167,forward,220,0.30752948305823585,0.4759400862073226,0.19905135035514832
167,reverse,220,0.30949442481452766,0.4849728134595194,0.19652457535266876
167,inference_symmetrised,220,0.3083150510760871,0.47985367452829514,0.19875672459602356
197,forward,220,0.28665599552067844,0.44750956952108,0.17024847865104675
197,reverse,220,0.2812831993807446,0.44436231073395505,0.16673597693443298
197,inference_symmetrised,220,0.28340284411202776,0.4454295577979629,0.17049577832221985
