comparison,left_method,right_method,n_test_hops,mean_paired_error_difference,median_paired_error_difference,ci95_low,ci95_high,probability_left_error_gt_right
crystal_minus_positional,crystal,positional,220,0.24634481802582744,0.1270861253142357,0.1852543787934225,0.31387446594966406,1.0
midpoint_minus_positional,midpoint,positional,220,0.06915589938109572,0.020121507346630096,0.03274617433124646,0.10884155705384908,1.0
trajectory_minus_positional,trajectory,positional,220,0.07421117465604435,0.0342530220746994,0.04456277209012345,0.10795349267937922,1.0
segmented_minus_positional,segmented,positional,220,0.10749412204731595,0.05036516785621643,0.07447569722563706,0.14258668071725827,1.0
randomized_minus_positional,randomized,positional,220,0.24479055252942175,0.12261554524302483,0.1808392182398926,0.312615642082962,1.0
image_coordination_minus_positional,image_coordination,positional,220,0.0424187538840554,0.023678699135780336,0.014364352434534919,0.07299332230775192,0.9991
geometric_bottleneck_minus_positional,geometric_bottleneck,positional,220,0.10513022730973634,0.047873790562152865,0.06777604967338796,0.14644978274980727,1.0
coordination_change_minus_positional,coordination_change,positional,220,0.24317389253188265,0.123176009953022,0.17843188014965167,0.31595790541663094,1.0
species_image_minus_positional,species_image,positional,220,0.11146511673249983,0.04924696907401085,0.07313093657766216,0.15514102653947404,1.0
position_aware_trajectory_graph_minus_positional,position_aware_trajectory_graph,positional,220,0.0358572674610398,0.020492593944072723,0.009102844715626402,0.0644862933080982,0.9953
position_aware_trajectory_graph_shuffled_minus_positional,position_aware_trajectory_graph_shuffled,positional,220,0.047308512160723855,0.03318720161914826,0.02230287101001225,0.07338426346636631,0.9999
position_aware_trajectory_graph_shuffled_minus_position_aware_trajectory_graph,position_aware_trajectory_graph_shuffled,position_aware_trajectory_graph,220,0.011451244699684058,0.011500722169876099,-0.010290467069060963,0.0336879082496532,0.8487
