method,seed,best_epoch,trained_epochs,mae,rmse,median_ae,r2,spearman
crystal,7,36,56,0.5402888109738176,0.8604009186519223,0.2991160750389099,-0.06385859612114642,0.22685404844953594
crystal,23,14,34,0.5446632488207384,0.8631853874214765,0.29760223627090454,-0.07075555382174081,0.25023786682018656
crystal,59,23,43,0.5299005351283333,0.8717864438771629,0.29041464626789093,-0.09220057120531466,0.2609748662130508
crystal,71,7,27,0.5355034669691866,0.8473008833662212,0.30680811405181885,-0.031709654619858085,0.21834384962499703
crystal,89,21,41,0.5406394206664779,0.8327765837217778,0.3165222704410553,0.0033579970089983036,0.28072523347854383
crystal,101,12,32,0.5405564494431019,0.8450758518615472,0.31444665789604187,-0.0262981829717166,0.24469797481566147
crystal,253,8,28,0.52790926031091,0.8471447923013298,0.29345492273569107,-0.031329563371916835,0.24659527332067321
crystal,761,21,41,0.5297763565724546,0.8699581513089321,0.2734674662351608,-0.08762429381021763,0.21014307779263114
crystal,895,12,32,0.5518014861778779,0.8656238229961816,0.3143237791955471,-0.07681371089846234,0.21076354853995277
crystal,1023,11,31,0.5267347529530525,0.854987667972709,0.29142412543296814,-0.05051407997504298,0.2583963442453338
midpoint,7,17,37,0.36383394517681816,0.5614553822933664,0.23442067950963974,0.5469849031658691,0.6127587159013428
midpoint,23,25,45,0.34238537956367837,0.5577889728671619,0.21481487154960632,0.5528821329431282,0.6529789308193821
midpoint,59,34,54,0.34031807190992613,0.5784893603924165,0.19281217455863953,0.519079900985421,0.6511892619870058
midpoint,71,74,94,0.3785762880336155,0.6304736962230875,0.19777032732963562,0.4287632748259429,0.6203772053892924
midpoint,89,43,63,0.35455163744362916,0.5821720559033219,0.218308687210083,0.5129372825876524,0.6699728957585525
midpoint,101,4,24,0.35371454696763643,0.5693366722724792,0.2165633738040924,0.5341774660700054,0.6703053594270354
midpoint,253,4,24,0.3875054864720865,0.6228974828659954,0.23578181862831116,0.4424095485014746,0.5575190321362763
midpoint,761,24,44,0.36312272785739463,0.6160468925955346,0.20992325246334076,0.45460679998160247,0.6157227140305302
midpoint,895,15,35,0.34256022308360445,0.5200275723813281,0.2112952023744583,0.6113712567164697,0.6377543487938331
midpoint,1023,12,32,0.3693162950602445,0.5788884614073239,0.21694430708885193,0.5184160965279099,0.63140823721001
trajectory,7,40,60,0.35792429569092665,0.5618694715899012,0.21523139253258705,0.546316433739144,0.7005167274305066
trajectory,23,47,67,0.35557139163667506,0.5813551151246571,0.2084377557039261,0.5143032781257175,0.6360875224694724
trajectory,59,34,54,0.3673189821568402,0.5812676833565206,0.2062327116727829,0.5144493579616808,0.6249178702039297
trajectory,71,21,41,0.3367689551277594,0.5763988573489632,0.18826258182525635,0.5225494492322633,0.6504398099885609
trajectory,89,25,45,0.36414880075237965,0.5971204221306938,0.21264757215976715,0.4876036519649992,0.6128432405628215
trajectory,101,41,61,0.3761087525297295,0.6078511770053978,0.23685380071401596,0.4690217886407033,0.5896000856516569
trajectory,253,45,65,0.37669450315562164,0.5864404017344551,0.24995171278715134,0.5057690467121123,0.5750190180488327
trajectory,761,52,72,0.36946155334060843,0.5888799719678233,0.21514767408370972,0.5016485291790036,0.6013185847190682
trajectory,895,7,27,0.38334704705260014,0.619648805187314,0.2104026824235916,0.44821052861976785,0.5609665113291221
trajectory,1023,49,69,0.35909307287497955,0.6030130550273863,0.20763543248176575,0.4774406709901038,0.6147411009618906
positional,7,23,43,0.2754965756427158,0.4454139041172032,0.16652995347976685,0.7148917948345286,0.7756602784805847
positional,23,52,72,0.29760524332523347,0.4856300588600929,0.17738492786884308,0.6610830442572413,0.757168536540011
positional,59,50,70,0.27620043605566025,0.435135202621872,0.1750863939523697,0.7278987011140154,0.7731560945098415
positional,71,45,65,0.28962006318298256,0.4527936409168612,0.1685917153954506,0.7053660323635256,0.7545753199258437
positional,89,26,46,0.28788159001957286,0.4308600064514442,0.19821377098560333,0.7332192166182394,0.7400077762688559
positional,101,30,50,0.30199009735475885,0.47609101335593934,0.16571637988090515,0.6742667113747884,0.770792784974896
positional,253,88,100,0.29743489643389526,0.4680307293545797,0.16450704634189606,0.6852027621992844,0.7233057031606589
positional,761,71,91,0.2693732585419308,0.43758844330864016,0.1616441309452057,0.72482190245119,0.7847923229067467
positional,895,16,36,0.30359886755997484,0.47604686994096934,0.188601553440094,0.6743271129060613,0.733020404253281
positional,1023,55,75,0.305124579640952,0.47340871278978947,0.18237657845020294,0.6779267398255813,0.7463076810377374
segmented,7,59,79,0.34572408998554405,0.5439040300918931,0.2029956579208374,0.5748651279689784,0.6208009556921725
segmented,23,32,52,0.3538170389831066,0.5698957366779038,0.18512167036533356,0.5332621810595932,0.6541442441523022
segmented,59,6,26,0.40548818815838206,0.6454339952770626,0.2273743748664856,0.40133227061352383,0.5701560325250896
segmented,71,66,86,0.3926577008583329,0.6234475170450015,0.21681860089302063,0.4414243808813366,0.5750426849540468
segmented,89,59,79,0.5173093606125224,0.8165416209403095,0.29844099283218384,0.0418382506687095,0.41082028366476386
segmented,101,24,44,0.3787801571867683,0.5971560879804622,0.21857471764087677,0.4875424395318765,0.615474775023526
segmented,253,48,68,0.3986105798320337,0.6245563515232503,0.24179932475090027,0.43943570123284803,0.571671841454275
segmented,761,29,49,0.47035019932822747,0.7629527143176768,0.2869293838739395,0.16347789598734264,0.36906897507407327
segmented,895,44,64,0.34405853998931973,0.5508671781634324,0.19285167008638382,0.5639101584364502,0.641234510855784
segmented,1023,97,100,0.37247097329659895,0.600877412895711,0.20633383095264435,0.4811355279669971,0.6332069220062773
randomized,7,36,56,0.5405309314077551,0.874281813862261,0.29458068311214447,-0.09846207056487621,0.26643751091776874
randomized,23,14,34,0.5414632356302305,0.8629762011096908,0.29874445870518684,-0.07023663803010916,0.23854211863881486
randomized,59,23,43,0.5159048893234947,0.8774725901672816,0.25867967307567596,-0.10649458939954459,0.22722595696004239
randomized,71,39,59,0.5348515555262565,0.855723615828896,0.29559025913476944,-0.05232336063457543,0.21495748409527618
randomized,89,10,30,0.5406163324009289,0.839354086028276,0.3240463435649872,-0.012447690741253181,0.2371514062086181
randomized,101,14,34,0.5281482483852994,0.8377281385094526,0.29821720719337463,-0.008528981367478705,0.2660216495832934
randomized,253,14,34,0.5258028882470998,0.8425633175476376,0.288791261613369,-0.02020458532936087,0.2680425442005427
randomized,761,23,43,0.5582918133247983,0.874879628114086,0.3148092031478882,-0.09996479149695392,0.15192462654187072
randomized,895,6,26,0.5247641403566707,0.8484967237392121,0.288019061088562,-0.03462392207246956,0.2136377723807216
randomized,1023,44,64,0.5418570984493603,0.8154946414003947,0.33842749148607254,0.04429380854777343,0.254299769529423
image_coordination,7,22,42,0.3325966236266223,0.5063821609363945,0.2232438027858734,0.6314987445748323,0.7188315310797181
image_coordination,23,19,39,0.3321423378857699,0.5112368863982321,0.21058906614780426,0.624399174030961,0.6482263908533046
image_coordination,59,20,40,0.33185034570368854,0.5058885654742712,0.2119390070438385,0.6322167868467856,0.6720792503226024
image_coordination,71,40,60,0.3233319346200336,0.4956292022181625,0.2125011384487152,0.6469827316943404,0.6633980040909935
image_coordination,89,24,44,0.3538357757709243,0.5285935164697326,0.21972693502902985,0.59846275017473,0.6059820920417213
image_coordination,101,47,67,0.29903954904187807,0.46755427307788544,0.19732453674077988,0.6858433644795645,0.6933050833131413
image_coordination,253,13,33,0.32169544473290446,0.5059473915178059,0.2147533893585205,0.6321312482887493,0.6907817404191295
image_coordination,761,16,36,0.34602813923900777,0.503957801569545,0.24741121381521225,0.6350187773232843,0.6270253517634662
image_coordination,895,17,37,0.3104947901584885,0.5270145414144854,0.19568368792533875,0.6008580514296559,0.6832579185520361
image_coordination,1023,41,61,0.3774982058189132,0.577350360668312,0.24355143308639526,0.5209718237822754,0.6319954018584155
geometric_bottleneck,7,51,71,0.382848878882148,0.588364091814324,0.23069066926836967,0.5025212945491573,0.5458963276852076
geometric_bottleneck,23,14,34,0.4214485427195376,0.6612576800319507,0.2551462948322296,0.37161814720505737,0.542914297628238
geometric_bottleneck,59,10,30,0.40170230012048375,0.6364812836569043,0.24428126960992813,0.4178251352885106,0.5060006874672467
geometric_bottleneck,71,58,78,0.3908847398378632,0.6635001564819634,0.21520711481571198,0.3673489465796713,0.5581895944506742
geometric_bottleneck,89,26,46,0.3919288299300454,0.5934339541508498,0.24297457933425903,0.49391092858020635,0.5439252125795235
geometric_bottleneck,101,16,36,0.3995622272518548,0.6311178251076174,0.21580971777439117,0.42759546073163124,0.543329031967227
geometric_bottleneck,253,15,35,0.3921476237475872,0.6182115588761637,0.22908169031143188,0.45076725961306396,0.5396099468621628
geometric_bottleneck,761,64,84,0.3725032112815163,0.5867275993616211,0.22366032004356384,0.505284848443118,0.5696522655426765
geometric_bottleneck,895,6,26,0.4205602208321745,0.6484627996223775,0.25622008740901947,0.3957003952764071,0.5230363512394132
geometric_bottleneck,1023,26,46,0.3820413062518293,0.5985606136016276,0.22876964509487152,0.4851289793522846,0.5361872615700174
coordination_change,7,36,56,0.5384601498192007,0.8786617535252206,0.28314830362796783,-0.10949569606337195,0.2120194665985294
coordination_change,23,19,39,0.5358673277226361,0.8658172613587498,0.27966057881712914,-0.07729502934015797,0.22692617616066446
coordination_change,59,23,43,0.5187504490668123,0.8685705119476375,0.27159395813941956,-0.0841573991824629,0.2426015563807667
coordination_change,71,7,27,0.5363440654494546,0.8492711662883681,0.2938825935125351,-0.03651343426028153,0.2143304318818527
coordination_change,89,19,39,0.5561213956637816,0.882047955010436,0.32679102569818497,-0.11806376063983537,0.1183230650612603
coordination_change,101,18,38,0.5330500793727961,0.8357679299106705,0.3230275511741638,-0.0038147687855945023,0.24793125774461583
coordination_change,253,3,23,0.5218893969600851,0.8508916482921146,0.2820284515619278,-0.04047272051139217,0.23350676859593308
coordination_change,761,22,42,0.5293873899362304,0.8452747802952156,0.2937331050634384,-0.026781415142869358,0.25282453243774755
coordination_change,895,6,26,0.5257432374087248,0.8682685443595054,0.29242926836013794,-0.08340369299077999,0.21755182770493003
coordination_change,1023,11,31,0.5404510416767814,0.8602105026781398,0.3191140741109848,-0.0633877615367815,0.17971520824059098
species_image,7,35,55,0.3636401181871241,0.6105868890451117,0.21720671653747559,0.46423156249755715,0.6169759330113882
species_image,23,25,45,0.4001200046051632,0.6524645970226861,0.24388061463832855,0.3882188667922527,0.47050596462361166
species_image,59,20,40,0.4076329655945301,0.6397352214012411,0.26385533809661865,0.41185731450194907,0.5097795033330891
species_image,71,46,66,0.40822318304668775,0.6620870303048261,0.21319472044706345,0.3700409240150402,0.5211576497636127
species_image,89,39,59,0.40062729933045127,0.6379399419717384,0.22980765998363495,0.4151536748672938,0.5359415765539859
species_image,101,14,34,0.4073629176752134,0.6335120217106602,0.26334255188703537,0.4232442971183611,0.5916207885587418
species_image,253,42,62,0.4075951335105029,0.7056443573110688,0.23346547782421112,0.2844270379819426,0.55662983269752
species_image,761,41,61,0.4279000010002743,0.6937349612416981,0.22632914781570435,0.30837713991969495,0.5650473619853152
species_image,895,22,42,0.3904078207232735,0.6547275515622245,0.2332213744521141,0.38396780481737003,0.5889137454004496
species_image,1023,25,45,0.40546733140945435,0.6717199674248695,0.23960870504379272,0.3515765795656899,0.5472960560792953
position_aware_trajectory_graph,7,69,89,0.29488680525259536,0.4533546089386221,0.20074782520532608,0.7046355335127199,0.7255078523410513
position_aware_trajectory_graph,23,84,100,0.31140345456925306,0.49535621463607,0.18352745473384857,0.6473715013247465,0.6845438204019992
position_aware_trajectory_graph,59,32,52,0.34290461188012905,0.5753359809874062,0.19655472040176392,0.524308658193086,0.6747908014628401
position_aware_trajectory_graph,71,29,49,0.3421974864873019,0.532956833707146,0.21903088688850403,0.5918063478447688,0.7143584859942635
position_aware_trajectory_graph,89,39,59,0.3251577315682715,0.5202361783133551,0.20603924989700317,0.61105940201516,0.6724489048421362
position_aware_trajectory_graph,101,42,62,0.35003476427360014,0.6797350519727026,0.2054005116224289,0.3360100471707179,0.7092103706124656
position_aware_trajectory_graph,253,7,27,0.35518588437275456,0.5552739826186345,0.22137479484081268,0.5569050234353441,0.6331979060423862
position_aware_trajectory_graph,761,42,62,0.32520265579223634,0.49641099766296365,0.2145254909992218,0.6458681687935337,0.6965733702236523
position_aware_trajectory_graph,895,22,42,0.30217248391021384,0.46853805148557054,0.20594189316034317,0.6845199430983637,0.7166654457548898
position_aware_trajectory_graph,1023,34,54,0.3137524042617191,0.48822867785928964,0.20199277997016907,0.6574462331028177,0.6934628626812349
position_aware_trajectory_graph_shuffled,7,46,66,0.325635699453679,0.4791037332221982,0.19605600833892822,0.6701311654044868,0.6604914827316117
position_aware_trajectory_graph_shuffled,23,81,100,0.3527049313892018,0.5405281265045877,0.21697405725717545,0.5801262042477646,0.6354710559384209
position_aware_trajectory_graph_shuffled,59,29,49,0.35168813467025756,0.5567836318565786,0.20656076073646545,0.5544924223629843,0.6123910510803413
position_aware_trajectory_graph_shuffled,71,46,66,0.371187004040588,0.6210017465182671,0.1962101086974144,0.44579834361424553,0.6602931315260082
position_aware_trajectory_graph_shuffled,89,66,86,0.35495081835172393,0.5637179459564498,0.1969645619392395,0.543326408609513,0.6399598789606847
position_aware_trajectory_graph_shuffled,101,55,75,0.3007946785200726,0.4554520054846554,0.17219507694244385,0.7018962675320028,0.7115015524362824
position_aware_trajectory_graph_shuffled,253,60,80,0.3626463025808334,0.5554254504524109,0.23725605010986328,0.5566632552555418,0.6427187639113505
position_aware_trajectory_graph_shuffled,761,40,60,0.3506527297876098,0.5236634106026528,0.20685803890228271,0.6059179659023588,0.6749812637000387
position_aware_trajectory_graph_shuffled,895,54,74,0.32214617133140566,0.4820754816585712,0.21636059880256653,0.6660263031339653,0.6602480517065529
position_aware_trajectory_graph_shuffled,1023,50,70,0.2850042592395436,0.4322288784789855,0.18753432482481003,0.7315213618100147,0.7388762728005274
