method,seeds,mae_mean,mae_std,rmse_mean,rmse_std,median_ae_mean,median_ae_std,r2_mean,r2_std,spearman_mean,spearman_std,best_epoch_mean,best_epoch_std,early_stopped_fraction
crystal,10,0.536777378801595,0.008211534222647643,0.855824050347926,0.012565942896041586,0.29975802935659884,0.013545788700756777,-0.05277462097864181,0.03082848153457225,0.24077320833005667,0.023545063007840795,16.5,8.834905520465714,1.0
midpoint,10,0.3595884601568634,0.01592402472509417,0.5817576549202015,0.03368504380625552,0.21486346945166587,0.01355944374742256,0.5121628662305475,0.056192967342898914,0.6319986701453261,0.0334476844629325,25.2,21.138695429104523,1.0
trajectory,10,0.364643735431812,0.0133014881554226,0.5903844960473112,0.01685727047562202,0.21508033163845539,0.017045513181736322,0.49873127351654956,0.0286576574602992,0.6166450471365861,0.040055834619545184,36.1,14.371654200002325,1.0
positional,10,0.2904325607757677,0.01290806218663694,0.45809985817173915,0.02004401965729509,0.17486524507403373,0.011885022328614792,0.6979004017944457,0.026344877699672704,0.7558786902058456,0.020217158933212256,45.6,22.623488285899285,0.9
segmented,10,0.3979266828230837,0.05594632996661122,0.6335632644912703,0.08936311582717897,0.22772402241826056,0.03801624327484944,0.41282239343476557,0.17489716025313157,0.566162122540231,0.0979743903731659,46.4,25.635045456475314,0.9
randomized,10,0.5352231133051893,0.011990226822298222,0.8528970756307188,0.01997964135360574,0.29999056421220305,0.021869125936423768,-0.04589928210888482,0.04879547578154209,0.23382408390563714,0.03533694740363748,22.3,13.174470261329928,1.0
image_coordination,10,0.3328513146598231,0.022278570597662126,0.5129554699744827,0.02823817437881299,0.2176724210381508,0.0170138179924851,0.6208383452625179,0.04264425170998573,0.663488276429453,0.03499640478976484,25.9,12.096372275282462,1.0
geometric_bottleneck,10,0.395562788085504,0.015887116492083016,0.6226117562705399,0.02982933066198475,0.23418413884937764,0.01483341764984547,0.4417701395619108,0.053500718788363245,0.5408740976992387,0.01741849284347598,28.6,21.203773249117717,1.0
coordination_change,10,0.5336064533076503,0.010686782832830154,0.8604782053666058,0.014943929138355572,0.2965408910065889,0.019593890073282133,-0.06433856784535272,0.03692046747766517,0.2145730290806891,0.039954432419317606,16.4,9.890511727015049,1.0
species_image,10,0.4018976775082675,0.0164131732205216,0.6562152538996124,0.028567818367160786,0.23639123067259787,0.017050299857856385,0.3801095202077151,0.05423197824193028,0.5503868412007009,0.04342944253420297,30.9,10.999494937900053,1.0
position_aware_trajectory_graph,10,0.3262898282368075,0.02075507844611328,0.526542657818176,0.06567986117060368,0.20551356077194213,0.01112925148822478,0.5959930858491258,0.1070026881913996,0.6920759820356919,0.02736977203100242,40.0,22.16102685145955,0.9
position_aware_trajectory_graph_shuffled,10,0.33774107293649147,0.028198055851550843,0.5209980410735356,0.05785658562600705,0.20329695865511893,0.01792830484756959,0.6055899697872877,0.08693237686863962,0.6636932504791819,0.03731373188151399,52.7,14.368561359981575,0.9
