source,midpoint_prediction,midpoint_prediction_sd,midpoint_seeds,positional_prediction,positional_prediction_sd,positional_seeds,affine_bvse_prediction,affine_bvse_prediction_sd,affine_bvse_seeds,bvse_delta_prediction,bvse_delta_prediction_sd,bvse_delta_seeds,dft_barrier,midpoint_absolute_error,positional_absolute_error,delta_pos,affine_bvse_absolute_error,bvse_delta_absolute_error,delta_bvse,dft_path_length,dft_endpoint_displacement,dft_tortuosity,dft_bottleneck_mean_k_distance,dft_bottleneck_path_coordinate,dft_coordination_at_bottleneck,dft_smooth_coordination_at_bottleneck,dft_coordination_range,dft_smooth_coordination_range,composition_family,anion_family,em_bvse,bvse_path_length,bvse_endpoint_displacement,bvse_tortuosity,bvse_bottleneck_mean_k_distance,bvse_bottleneck_path_coordinate,bvse_coordination_at_bottleneck,bvse_smooth_coordination_at_bottleneck,bvse_coordination_range,bvse_smooth_coordination_range,litraj_min_volume,litraj_edge_length,litraj_max_weighted_mean_oxidation,litraj_max_volume,litraj_min_mean_covalent_radius,dft_profile_volume_min,dft_profile_volume_max,dft_profile_volume_range,dft_profile_volume_s_min,dft_profile_volume_s_max,dft_profile_volume_asymmetry,dft_profile_effective_cn_min,dft_profile_effective_cn_max,dft_profile_effective_cn_range,dft_profile_effective_cn_s_min,dft_profile_effective_cn_s_max,dft_profile_effective_cn_asymmetry,dft_profile_mean_rc_min,dft_profile_mean_rc_max,dft_profile_mean_rc_range,dft_profile_mean_rc_s_min,dft_profile_mean_rc_s_max,dft_profile_mean_rc_asymmetry,dft_profile_weighted_mean_oxi_min,dft_profile_weighted_mean_oxi_max,dft_profile_weighted_mean_oxi_range,dft_profile_weighted_mean_oxi_s_min,dft_profile_weighted_mean_oxi_s_max,dft_profile_weighted_mean_oxi_asymmetry,bvse_profile_volume_min,bvse_profile_volume_max,bvse_profile_volume_range,bvse_profile_volume_s_min,bvse_profile_volume_s_max,bvse_profile_volume_asymmetry,bvse_profile_effective_cn_min,bvse_profile_effective_cn_max,bvse_profile_effective_cn_range,bvse_profile_effective_cn_s_min,bvse_profile_effective_cn_s_max,bvse_profile_effective_cn_asymmetry,bvse_profile_mean_rc_min,bvse_profile_mean_rc_max,bvse_profile_mean_rc_range,bvse_profile_mean_rc_s_min,bvse_profile_mean_rc_s_max,bvse_profile_mean_rc_asymmetry,bvse_profile_weighted_mean_oxi_min,bvse_profile_weighted_mean_oxi_max,bvse_profile_weighted_mean_oxi_range,bvse_profile_weighted_mean_oxi_s_min,bvse_profile_weighted_mean_oxi_s_max,bvse_profile_weighted_mean_oxi_asymmetry
nebDFT2k:mp-1020056_0_0_1_1_0,1.5991079449653625,0.5701858306239254,10,2.608033847808838,0.3156535926016508,10,1.1513273858942557,0.0,10,2.533695864677429,0.3079659545375945,10,2.06686851521863,0.4677605702532674,0.5411653325902082,-0.0734047623369407,0.9155411293243744,0.4668273494587991,0.4487137798655751,5.779497694726756,5.181886005588375,1.1153270620955171,2.036745745813577,0.3680214525438304,9.0,0.9294845961703652,2.0,0.3908737415661556,Li15N80Si32Ca48,N,2.135842168248376,6.090845403200019,5.1818860013966805,1.1754109221156823,1.9044703818380069,0.3354263966141676,9.0,1.154280241049072,1.0,0.4775265018339739,7.072575595899682,5.181886005588375,-0.0360196652291937,13.705401707112182,1.0379999999999998,10.25702331877866,13.705401707112186,3.4483783883335253,0.5084313905624165,0.0,0.0080069081752434,8.826988750885329,12.780489532825106,3.953500781939777,0.5084313905624165,1.0,0.005081527023238,0.9991666666666664,1.1095000000000002,0.1103333333333336,0.5084313905624165,0.8505470733230361,0.002864944599813,-1.1886043868368872,-0.7985730669254301,0.3900313199114571,1.0,0.5084313905624165,0.0009331330280321,9.111548007445327,13.050527901331384,3.9389798938860565,0.5043981809591958,1.0,-0.008093713241369649,8.732590154776334,12.79474524834544,4.062155093569105,0.5043981809591958,1.0,-0.0016367591520012326,1.0254545454545452,1.0955555555555554,0.07010101010101022,0.5043981809591958,0.0,0.0004161178877490901,-1.1285368897811532,-0.235835536648657,0.8927013531324962,0.0,0.5043981809591958,0.0012421566174496412
nebDFT2k:mp-1020056_0_2_1_0_0,0.5288663506507874,0.1857942240139179,10,0.756853798031807,0.2337116047123186,10,0.5208987937733469,0.0,10,0.8131173014640808,0.4339881174000169,10,0.1300193352041105,0.3988470154466768,0.6268344628276964,-0.2279874473810196,0.3908794585692363,0.6830979662599702,-0.2922185076907339,2.0616527883634954,2.027377400428485,1.0169062691178103,2.1590253967846698,0.2380671398271903,7.0,0.620880669266016,5.0,0.0616000113879113,Li15N80Si32Ca48,N,0.5561819799531005,2.772075621413881,2.6501024403276467,1.0460258362960315,2.1472490791794843,0.5021748725355212,8.0,0.7188915712322952,5.0,0.0862353241760732,12.518979114744988,2.027377400428485,-0.247199049936426,14.632250014611794,1.0472727272727276,13.999096303093486,15.003705015772423,1.0046087126789374,1.0,0.5055661238545174,0.1199414041754867,10.31740930541592,11.817199267005684,1.4997899615897623,0.7717340294251701,0.0,0.332551966398495,1.063888888888889,1.0950000000000002,0.031111111111111,0.0,0.7717340294251701,-0.0010514958798995,-1.3894316173067722,-1.2160048286623766,0.1734267886443956,0.5055661238545174,1.0,0.001038466877543,13.059370256382707,14.307467418257934,1.2480971618752275,1.0,0.25164162524898137,0.23573438221301846,9.627120344942647,11.377099321592587,1.74997897664994,0.7517040354031505,0.0,0.482181142914901,1.0055555555555555,1.0810000000000002,0.07544444444444465,0.7517040354031505,0.25164162524898137,0.01878709340486595,-1.5375905158454934,-1.2750228529221046,0.26256766292338884,0.5021748725355212,1.0,-0.009626991419762199
nebDFT2k:mp-1020056_2_2_1_1_0,1.5922298789024354,0.544522937230159,10,2.2594040513038633,0.3088958221388239,10,1.378566085915626,0.0,10,2.4072279214859007,0.3200497155977646,10,1.4526391147018671,0.1395907642005682,0.8067649366019962,-0.667174172401428,0.0740730287862412,0.9545888067840336,-0.8805157779977923,5.714277095259645,5.181886004443156,1.1027407956022182,2.0514146681868572,0.6026903774600298,10.0,0.9243700106680884,5.0,0.2543929791252475,Li15N80Si32Ca48,N,2.705232472162268,5.537276566797638,5.1818860013966805,1.0685832465834193,1.8489417116981797,0.6618191866650972,10.0,1.2845564637922642,6.0,0.523561010372799,7.863466130575904,5.181886004443156,-0.0418159091422659,13.177035073146584,1.0076923076923074,10.72088240941766,13.221798498012998,2.5009160885953374,0.4822714898089728,0.1648068918851468,0.1005785859833956,8.142237083029423,11.393687298622313,3.2514502155928895,0.4822714898089728,1.0,0.0212421808668317,1.0372222222222225,1.151333333333333,0.1141111111111108,0.1648068918851468,0.4822714898089728,-0.0013561182616337,-1.162276724661319,-0.9942942584881896,0.1679824661731294,1.0,0.4822714898089728,-0.0062933939300091,8.645986568511567,12.404869129045949,3.7588825605343814,0.4942569320351731,0.0,0.0001060404461910025,7.809146919057467,11.26254883532561,3.4534019162681435,0.4942569320351731,1.0,-0.0030258912894822743,0.9991666666666666,1.0955555555555556,0.09638888888888897,0.4942569320351731,1.0,-0.00046753282755762626,-1.0843272261898733,-0.33031964708013917,0.7540075791097341,0.0,0.4942569320351731,0.0009573508434534417
nebDFT2k:mp-1147726_4_6_1_0_0,0.3113276898860931,0.0795579739491518,10,0.2101828157901763,0.0999809090419841,10,0.40790262504814,0.0,10,0.2762701988220214,0.0433486338874778,10,0.1745581483410347,0.1367695415450583,0.0356246674491415,0.1011448740959167,0.2333444767071052,0.1017120504809866,0.1316324262261186,5.173179943834105,3.8883867577467086,1.3304180541011628,2.446675873312599,0.0,4.0,0.2798351625099308,1.0,0.0846895329361682,Li23P12S48Zn6,S,0.2730483286626279,6.910682707482127,3.9513407572415034,1.7489462772394728,2.4194418267936055,0.7665307550735317,4.0,0.3102791324002124,1.0,0.0863034514387616,20.9428012575767,3.8883867577467086,-0.377077556678933,21.923654998122487,1.1046153846153846,21.93174471448951,23.50855465992469,1.5768099454351798,0.0,0.1910300805144107,0.2089230292153345,5.923161807417091,7.198234505363262,1.2750726979461708,0.0,0.4077394263000718,0.2097035840445142,1.0842857142857143,1.114,0.0297142857142858,0.7076594237261393,0.1910300805144107,0.0092219667032263,-1.8756267697829876,-1.7352385592198225,0.140388210563165,0.1910300805144107,0.0,-0.0011315383232838,21.75964290783021,22.379364556035245,0.6197216482050365,0.0,0.46470771630462393,-0.02120244808430094,5.848724180045578,7.477096069500326,1.6283718894547476,0.0,0.46470771630462393,0.1612942739446308,1.086923076923077,1.1300000000000001,0.04307692307692301,0.7665307550735317,0.46470771630462393,0.006367458219450506,-1.8392093994417245,-1.5967578695290325,0.24245152991269192,1.0,0.46470771630462393,0.04110064504938438
nebDFT2k:mp-1174212_5_7_0_0_0,0.3841370910406112,0.074269023460371,10,0.4455973893404007,0.0606905147805303,10,0.7005929840672787,0.0,10,0.4427908658981323,0.0448615454033972,10,0.8727639313134432,0.488626840272832,0.4271665419730425,0.0614602982997894,0.1721709472461645,0.4299730654153109,-0.2578021181691463,2.835333796077017,2.74037553176692,1.0346515516611954,2.039134995429999,0.7557932784516438,12.0,0.9419016823174092,7.0,0.2489400662455068,Li31O56Co24,O,1.0064403629371628,3.2831581660565745,2.875624900572334,1.141719897265853,1.8562593346469356,0.5030924721755888,6.0,1.153070283542772,11.0,0.0819652792685381,9.86045312354783,2.74037553176692,-0.3285958837480501,10.21391363463477,0.8342857142857143,9.353311066441544,11.22351180965074,1.870200743209196,1.0,0.4669449259940536,0.1686096460922179,7.447235855610227,8.424285967258848,0.9770501116486212,1.0,0.4669449259940536,0.1123823806453061,0.8226666666666667,1.02,0.1973333333333333,0.7557932784516438,0.0,0.04473400694631,-1.725866783839341,-1.56795467166215,0.1579121121771907,1.0,0.4669449259940536,0.0304823872161624,8.779886243751884,9.48340156289042,0.7035153191385355,0.5030924721755888,0.0,0.09146885546872596,7.215408538594641,7.632082378446034,0.41667383985139317,1.0,0.2502054868815051,0.0441122240666898,0.7633333333333333,1.0279999999999998,0.2646666666666665,0.5030924721755888,0.0,0.017949589636564345,-1.7621753301805725,-1.2579034813582863,0.5042718488222862,1.0,0.5030924721755888,0.007978866096647552
nebDFT2k:mp-1175313_9_13_0_0_0,0.3805162698030471,0.0336069355641244,10,0.385898694396019,0.0520490463382573,10,0.7304350223958338,0.0,10,0.4852720648050308,0.1022718857821357,10,0.573661385225023,0.1931451154219758,0.187762690829004,0.0053824245929718,0.1567736371708108,0.0883893204199921,0.0683843167508186,2.928593453516623,2.712511450226794,1.0796612317606114,2.1156989900004466,1.0,12.0,0.8417431878814394,3.0,0.0979062434369426,Li55O96Mn40,O,1.081215334241382,3.240481445240284,2.8791344944784716,1.1255054084672995,1.9374220709350525,0.5034095057300491,6.0,1.0175152113207468,7.0,0.1565550960779363,10.696470238227436,2.712511450226794,-0.3375076701059885,11.625631749824318,0.90625,10.777291199647491,12.59476598454537,1.8174747848978772,1.0,0.4820832509962215,-0.0652115990188617,7.689880171332937,8.814189646060042,1.124309474727105,1.0,0.4820832509962215,-0.0187909884424382,0.928235294117647,1.068125,0.1398897058823529,0.4820832509962215,0.0,-0.0063939974986731,-1.618373727398289,-1.4700015942805846,0.1483721331177043,1.0,0.4820832509962215,-0.0104660343887119,9.839801464444266,10.359536748322263,0.5197352838779974,1.0,0.0,0.16660035373464765,6.774986761625584,8.011399821579387,1.2364130599538026,1.0,0.2525426736085331,0.3336523655547179,0.8739999999999999,1.0570588235294116,0.18305882352941172,0.5034095057300491,1.0,-0.015916930792330253,-1.8386332925858848,-1.2843326605463556,0.5543006320395292,1.0,0.5034095057300491,0.05432225980157823
nebDFT2k:mp-1175624_0_3_0_1_0,0.4015165269374847,0.0868236741082918,10,0.4769549399614334,0.1168216470179001,10,0.8194716615756062,0.0,10,0.5181122422218323,0.0794153503736067,10,0.4071036284401258,0.005587101502641,0.0698513115213075,-0.0642642100186665,0.4123680331354804,0.1110086137817064,0.3013594193537739,2.7103461387109,2.5881529952884588,1.0472124884598726,2.094668838319209,0.4998650808045041,9.0,0.8463740964625291,4.0,0.0570296433864422,Li35O64Mn8Co20,O,1.3043137723035363,3.2524414204757313,2.952844309302853,1.1014605173151208,1.8694158633925848,0.4991894415104442,6.0,1.1362573430792533,11.0,0.183720578304274,10.424113152032739,2.5881529952884588,,11.079665968899764,0.8342857142857143,10.481517254622561,11.933303932889794,1.4517866782672328,1.0,0.4998650808045041,0.03932018111336966,7.843439684220111,9.012433046884764,1.1689933626646534,1.0,0.4998650808045041,0.006199709219471217,0.864,1.047777777777778,0.18377777777777793,0.4998650808045041,0.0,0.018559318555467108,,,,,,,9.261652971942876,9.882567231981854,0.6209142600389779,0.49918944151044425,1.0,-0.03795142599217094,7.180139826976254,7.494348054895413,0.3142082279191589,1.0,0.2456674148851086,0.028357098793511337,0.8342857142857143,1.005,0.1707142857142856,0.49918944151044425,0.0,0.006880813145108411,-1.7554144660759647,-1.2792722391193263,0.47614222695663844,1.0,0.49918944151044425,0.005356949382205101
nebDFT2k:mp-1175840_1_1_1_0_0,1.734479260444641,0.1464593956808828,10,1.772915709018707,0.2361410219959343,10,1.7533621918035815,0.0,10,1.6062649488449097,0.1146533484089859,10,2.172025466592572,0.4375462061479311,0.3991097575738649,0.0384364485740662,0.4186632747889907,0.5657605177476626,-0.1470972429586718,5.214802911565228,4.975317221539516,1.048134757918332,1.9745287138374792,0.6742927935337789,7.0,1.0095744642587978,9.0,0.1079253409084115,Li35O64Mn8Co20,O,3.644356259691492,5.288993723928547,4.975261,1.06305854585891,1.5441043493332107,0.49789360207784,10.0,1.709216984418211,10.0,0.653616888795747,7.56987991412868,4.975317221539516,,10.44550356803573,0.9228571428571428,9.692801739733401,10.706405945966818,1.013604206233417,0.495611259271287,0.8449193736462518,-0.055733880448920914,7.507948907588968,8.896214385329577,1.3882654777406085,0.32152709669808616,0.15436819417416553,0.03860415597076905,0.9059999999999999,1.0463157894736843,0.1403157894736844,0.495611259271287,0.0,0.003236413934782467,,,,,,,6.106150356679681,9.584644214694041,3.4784938580143603,0.49789360207784,1.0,0.07260870095137673,6.860981134952349,8.658757257434774,1.797776122482425,0.6639732767783407,0.1659075806518142,0.22940371125794057,0.8459999999999999,1.00625,0.16025000000000023,0.33271417941532677,0.0,-0.013225904781697218,-1.7186190433609954,-0.4901993581091909,1.2284196852518043,1.0,0.49789360207784,0.012018229424734184
nebDFT2k:mp-1176566_0_2_0_0_0,0.5645624369382858,0.1022392973071832,10,0.4164240896701813,0.0837080405272452,10,0.6386552193754514,0.0,10,0.4451653838157653,0.1113799178612391,10,0.1750415249170202,0.3895209120212655,0.241382564753161,0.1481383472681044,0.4636136944584311,0.2701238588987451,0.193489835559686,2.3007980540937836,2.142533422782539,1.0738679871353902,1.9097327376182776,0.5479901373234899,7.0,0.9034125959112574,5.0,0.025934361708456,Li15O64Si16Ti16,O,0.8512433711469878,2.9706499747768618,2.7169952419774206,1.0933585487675834,1.82796464730926,0.5008374464748752,7.0,1.0601023378650358,4.0,0.1043751024925279,9.359845164593755,2.142533422782539,-0.4772237362707707,10.741446279405634,0.8523076923076923,10.062232298139254,10.86793539756288,0.8057030994236278,1.0,0.5479901373234899,0.0068816046379671,6.510842782786658,7.264269767890379,0.7534269851037214,0.5479901373234899,0.0,-0.0044619058426147,0.9011111111111112,0.952,0.0508888888888888,0.2762651526643055,1.0,-0.0052384876989748,-1.7340807622029255,-1.618368925393391,0.1157118368095344,0.2762651526643055,0.0,-0.0053138239579814,9.396245061605978,9.604320657072055,0.20807559546607735,0.0,0.24926476298864758,0.0005309014061571915,6.041170230492448,6.793654173411852,0.7524839429194037,0.5008374464748752,0.0,0.0017398349552575354,0.8753333333333334,0.9337500000000001,0.05841666666666667,0.5008374464748752,0.0,5.004760513427353e-05,-1.8571255784905758,-1.6701065468509952,0.18701903163958056,0.7511913609601921,0.5008374464748752,1.1929304261082407e-05
nebDFT2k:mp-1176566_0_2_0_1_0,1.846409285068512,0.6135344313121965,10,1.7798832535743714,0.2721777763977181,10,1.8908212544357383,0.0,10,2.1287952423095704,0.2176285906989479,10,2.8486144832020557,1.0022051981335438,1.0687312296276843,-0.0665260314941404,0.9577932287663172,0.7198192408924853,0.237973987873832,5.745988549271803,5.03482281695927,1.141249406020217,1.9225401721909945,0.6757449301300812,12.0,1.2472386922315004,5.0,0.5086713115317715,Li15O64Si16Ti16,O,3.9887864005102953,6.105052623708955,5.070292442544626,1.2040829385858884,1.7053346153430369,0.3417774139293153,11.0,1.5426244602827937,2.0,0.6718990142656711,7.683707848167357,5.03482281695927,-0.0983781972004184,9.518123117138616,0.8435294117647059,8.079416159401648,10.044844825323942,1.9654286659222944,0.4867902445530973,0.1227862665400463,0.0251855023318219,6.635712524552505,8.793846528161763,2.1581340036092582,1.0,0.6757449301300812,-0.0904625302416213,0.788235294117647,0.9906666666666666,0.2024313725490195,1.0,0.8705161511366722,-0.003147891305412,-1.8624945098231311,-1.116265128084443,0.7462293817386885,1.0,0.4867902445530973,-0.0247359787822776,7.034823427850242,9.319983488524585,2.285160060674343,0.5098169977975152,0.0,0.03095526390597314,7.0473524716956675,8.193428992857067,1.1460765211613992,0.17134556067787457,0.5098169977975152,-0.12682760450656572,0.8357142857142856,0.9900000000000001,0.15428571428571447,0.6750640168143751,0.17134556067787457,0.010473556741271317,-1.7045386687739645,-0.5439367047801352,1.1606019639938294,1.0,0.5098169977975152,-0.03605907219441595
