outcome,feature_set,task,repeat,fold,feature,score_drop
delta_pos,published_litraj,regression,0,0,litraj_min_volume,0.09568799176753573
delta_pos,published_litraj,regression,0,0,litraj_edge_length,-0.051204851798828166
delta_pos,published_litraj,regression,0,0,litraj_max_weighted_mean_oxidation,-0.03533370605449582
delta_pos,published_litraj,regression,0,0,litraj_max_volume,-0.009521470099890017
delta_pos,published_litraj,regression,0,0,litraj_min_mean_covalent_radius,-0.03203623257425381
delta_pos,published_litraj,regression,0,1,litraj_min_volume,0.09239087422525016
delta_pos,published_litraj,regression,0,1,litraj_edge_length,-0.045571695876674756
delta_pos,published_litraj,regression,0,1,litraj_max_weighted_mean_oxidation,-0.20967308406491791
delta_pos,published_litraj,regression,0,1,litraj_max_volume,-0.024639685713181425
delta_pos,published_litraj,regression,0,1,litraj_min_mean_covalent_radius,-0.01563841085517037
delta_pos,published_litraj,regression,0,2,litraj_min_volume,-0.4602812902671636
delta_pos,published_litraj,regression,0,2,litraj_edge_length,-0.16203404711178981
delta_pos,published_litraj,regression,0,2,litraj_max_weighted_mean_oxidation,-0.00477945488482967
delta_pos,published_litraj,regression,0,2,litraj_max_volume,-0.012709737660249631
delta_pos,published_litraj,regression,0,2,litraj_min_mean_covalent_radius,-0.027403237742249065
delta_pos,published_litraj,regression,0,3,litraj_min_volume,-0.3484296314312878
delta_pos,published_litraj,regression,0,3,litraj_edge_length,-0.2233777698528696
delta_pos,published_litraj,regression,0,3,litraj_max_weighted_mean_oxidation,0.06458299951269875
delta_pos,published_litraj,regression,0,3,litraj_max_volume,-0.010793302595664578
delta_pos,published_litraj,regression,0,3,litraj_min_mean_covalent_radius,-0.11970140590133171
delta_pos,published_litraj,regression,0,4,litraj_min_volume,0.17710230818475425
delta_pos,published_litraj,regression,0,4,litraj_edge_length,0.02142599043459925
delta_pos,published_litraj,regression,0,4,litraj_max_weighted_mean_oxidation,-0.12266537352345741
delta_pos,published_litraj,regression,0,4,litraj_max_volume,-0.037858466737526575
delta_pos,published_litraj,regression,0,4,litraj_min_mean_covalent_radius,-0.07832522586588442
delta_pos,published_litraj,regression,1,0,litraj_min_volume,0.21062144800127058
delta_pos,published_litraj,regression,1,0,litraj_edge_length,0.03362148774660201
delta_pos,published_litraj,regression,1,0,litraj_max_weighted_mean_oxidation,-0.030619928168455157
delta_pos,published_litraj,regression,1,0,litraj_max_volume,-0.060738815948485514
delta_pos,published_litraj,regression,1,0,litraj_min_mean_covalent_radius,-0.0004018085721204656
delta_pos,published_litraj,regression,1,1,litraj_min_volume,-0.005530458335507582
delta_pos,published_litraj,regression,1,1,litraj_edge_length,-0.03801147242743608
delta_pos,published_litraj,regression,1,1,litraj_max_weighted_mean_oxidation,-0.04211474584909225
delta_pos,published_litraj,regression,1,1,litraj_max_volume,-0.06742457624591691
delta_pos,published_litraj,regression,1,1,litraj_min_mean_covalent_radius,-0.03628570349178806
delta_pos,published_litraj,regression,1,2,litraj_min_volume,0.08793164022790045
delta_pos,published_litraj,regression,1,2,litraj_edge_length,0.06246810145100479
delta_pos,published_litraj,regression,1,2,litraj_max_weighted_mean_oxidation,-0.015839993965857335
delta_pos,published_litraj,regression,1,2,litraj_max_volume,-0.0213852219228311
delta_pos,published_litraj,regression,1,2,litraj_min_mean_covalent_radius,-0.008409272321140526
delta_pos,published_litraj,regression,1,3,litraj_min_volume,-0.5292343525768284
delta_pos,published_litraj,regression,1,3,litraj_edge_length,-0.31100249457386964
delta_pos,published_litraj,regression,1,3,litraj_max_weighted_mean_oxidation,-0.0044050934037822564
delta_pos,published_litraj,regression,1,3,litraj_max_volume,-0.09274045693872157
delta_pos,published_litraj,regression,1,3,litraj_min_mean_covalent_radius,-0.19975153287980607
delta_pos,published_litraj,regression,1,4,litraj_min_volume,0.06827743634764105
delta_pos,published_litraj,regression,1,4,litraj_edge_length,-0.19961631758216747
delta_pos,published_litraj,regression,1,4,litraj_max_weighted_mean_oxidation,0.024836582656914574
delta_pos,published_litraj,regression,1,4,litraj_max_volume,-0.0579311006600578
delta_pos,published_litraj,regression,1,4,litraj_min_mean_covalent_radius,-0.08577334307789308
delta_pos,published_litraj,regression,2,0,litraj_min_volume,-0.15927910992063832
delta_pos,published_litraj,regression,2,0,litraj_edge_length,-0.05799515138078348
delta_pos,published_litraj,regression,2,0,litraj_max_weighted_mean_oxidation,0.02336833822631257
delta_pos,published_litraj,regression,2,0,litraj_max_volume,-0.03214190095206315
delta_pos,published_litraj,regression,2,0,litraj_min_mean_covalent_radius,-0.024058662150221233
delta_pos,published_litraj,regression,2,1,litraj_min_volume,-0.19379113346244936
delta_pos,published_litraj,regression,2,1,litraj_edge_length,-0.10916061434780522
delta_pos,published_litraj,regression,2,1,litraj_max_weighted_mean_oxidation,-0.015747446308727042
delta_pos,published_litraj,regression,2,1,litraj_max_volume,0.030733004965471933
delta_pos,published_litraj,regression,2,1,litraj_min_mean_covalent_radius,-0.060386027283327426
delta_pos,published_litraj,regression,2,2,litraj_min_volume,0.031656318992842936
delta_pos,published_litraj,regression,2,2,litraj_edge_length,-0.03648096451575267
delta_pos,published_litraj,regression,2,2,litraj_max_weighted_mean_oxidation,-0.09867944545212826
delta_pos,published_litraj,regression,2,2,litraj_max_volume,-0.02128777781790192
delta_pos,published_litraj,regression,2,2,litraj_min_mean_covalent_radius,0.019976705901907588
delta_pos,published_litraj,regression,2,3,litraj_min_volume,-0.18886798229064716
delta_pos,published_litraj,regression,2,3,litraj_edge_length,-0.05435234663012389
delta_pos,published_litraj,regression,2,3,litraj_max_weighted_mean_oxidation,-0.001768348778515838
delta_pos,published_litraj,regression,2,3,litraj_max_volume,-0.12888709677843813
delta_pos,published_litraj,regression,2,3,litraj_min_mean_covalent_radius,-0.10615330007984647
delta_pos,published_litraj,regression,2,4,litraj_min_volume,0.2946846270043999
delta_pos,published_litraj,regression,2,4,litraj_edge_length,-0.024071102887003648
delta_pos,published_litraj,regression,2,4,litraj_max_weighted_mean_oxidation,-0.0014848034546247613
delta_pos,published_litraj,regression,2,4,litraj_max_volume,-0.023196115652521998
delta_pos,published_litraj,regression,2,4,litraj_min_mean_covalent_radius,-0.03599650366433571
delta_pos,published_litraj,regression,3,0,litraj_min_volume,-0.6544423336751655
delta_pos,published_litraj,regression,3,0,litraj_edge_length,-0.13203993139823078
delta_pos,published_litraj,regression,3,0,litraj_max_weighted_mean_oxidation,-0.04917437361203447
delta_pos,published_litraj,regression,3,0,litraj_max_volume,-0.2712286021340997
delta_pos,published_litraj,regression,3,0,litraj_min_mean_covalent_radius,0.016336345429416532
delta_pos,published_litraj,regression,3,1,litraj_min_volume,0.2701228011849659
delta_pos,published_litraj,regression,3,1,litraj_edge_length,-0.04265864420411014
delta_pos,published_litraj,regression,3,1,litraj_max_weighted_mean_oxidation,-0.020952402394049052
delta_pos,published_litraj,regression,3,1,litraj_max_volume,-2.355448238899882e-05
delta_pos,published_litraj,regression,3,1,litraj_min_mean_covalent_radius,-0.08012162010368529
delta_pos,published_litraj,regression,3,2,litraj_min_volume,0.04238405044830418
delta_pos,published_litraj,regression,3,2,litraj_edge_length,-0.04433605406573127
delta_pos,published_litraj,regression,3,2,litraj_max_weighted_mean_oxidation,0.07343254900294593
delta_pos,published_litraj,regression,3,2,litraj_max_volume,0.007323183215945828
delta_pos,published_litraj,regression,3,2,litraj_min_mean_covalent_radius,0.047644417044028664
delta_pos,published_litraj,regression,3,3,litraj_min_volume,0.0850049126814032
delta_pos,published_litraj,regression,3,3,litraj_edge_length,-0.0063867731703990405
delta_pos,published_litraj,regression,3,3,litraj_max_weighted_mean_oxidation,-0.056017749622621515
delta_pos,published_litraj,regression,3,3,litraj_max_volume,-0.12448052174432256
delta_pos,published_litraj,regression,3,3,litraj_min_mean_covalent_radius,-0.04886545622617211
delta_pos,published_litraj,regression,3,4,litraj_min_volume,0.09303866105327296
delta_pos,published_litraj,regression,3,4,litraj_edge_length,0.04897581412923846
delta_pos,published_litraj,regression,3,4,litraj_max_weighted_mean_oxidation,0.033319934323598255
delta_pos,published_litraj,regression,3,4,litraj_max_volume,-0.022062924204279244
delta_pos,published_litraj,regression,3,4,litraj_min_mean_covalent_radius,0.023672126923885872
delta_pos,published_litraj,regression,4,0,litraj_min_volume,-0.3275962116812936
delta_pos,published_litraj,regression,4,0,litraj_edge_length,-0.29480721440125923
delta_pos,published_litraj,regression,4,0,litraj_max_weighted_mean_oxidation,-0.0032315645608409493
delta_pos,published_litraj,regression,4,0,litraj_max_volume,-0.0397527347667328
delta_pos,published_litraj,regression,4,0,litraj_min_mean_covalent_radius,0.018618934089538408
delta_pos,published_litraj,regression,4,1,litraj_min_volume,0.10593970280697129
delta_pos,published_litraj,regression,4,1,litraj_edge_length,-0.08192630532619916
delta_pos,published_litraj,regression,4,1,litraj_max_weighted_mean_oxidation,-0.0028586156236634075
delta_pos,published_litraj,regression,4,1,litraj_max_volume,-0.05708103149601196
delta_pos,published_litraj,regression,4,1,litraj_min_mean_covalent_radius,0.018387150285003484
delta_pos,published_litraj,regression,4,2,litraj_min_volume,0.04715474026097288
delta_pos,published_litraj,regression,4,2,litraj_edge_length,-0.004068480999086521
delta_pos,published_litraj,regression,4,2,litraj_max_weighted_mean_oxidation,-0.09337715726729079
delta_pos,published_litraj,regression,4,2,litraj_max_volume,-0.1349176830354598
delta_pos,published_litraj,regression,4,2,litraj_min_mean_covalent_radius,-0.051114907765139606
delta_pos,published_litraj,regression,4,3,litraj_min_volume,-0.4390773864414026
delta_pos,published_litraj,regression,4,3,litraj_edge_length,-0.23351211435439057
delta_pos,published_litraj,regression,4,3,litraj_max_weighted_mean_oxidation,-0.0235197996995824
delta_pos,published_litraj,regression,4,3,litraj_max_volume,-0.03014431896266645
delta_pos,published_litraj,regression,4,3,litraj_min_mean_covalent_radius,-0.07255947365718862
delta_pos,published_litraj,regression,4,4,litraj_min_volume,0.057409891024513326
delta_pos,published_litraj,regression,4,4,litraj_edge_length,-0.09383255100222865
delta_pos,published_litraj,regression,4,4,litraj_max_weighted_mean_oxidation,-0.0894630414024169
delta_pos,published_litraj,regression,4,4,litraj_max_volume,-0.1661710054069716
delta_pos,published_litraj,regression,4,4,litraj_min_mean_covalent_radius,-0.08675488552365063
delta_pos,published_litraj,regression,5,0,litraj_min_volume,0.007575383523242163
delta_pos,published_litraj,regression,5,0,litraj_edge_length,-0.020608305456492837
delta_pos,published_litraj,regression,5,0,litraj_max_weighted_mean_oxidation,0.10379576660502798
delta_pos,published_litraj,regression,5,0,litraj_max_volume,0.001444945950535681
delta_pos,published_litraj,regression,5,0,litraj_min_mean_covalent_radius,-0.08520303838414744
delta_pos,published_litraj,regression,5,1,litraj_min_volume,0.22367298781576783
delta_pos,published_litraj,regression,5,1,litraj_edge_length,0.10552112682328973
delta_pos,published_litraj,regression,5,1,litraj_max_weighted_mean_oxidation,-0.10338149123502549
delta_pos,published_litraj,regression,5,1,litraj_max_volume,-0.17224248269494835
