outcome,feature_set,task,model,repeat,r2,mae,spearman,roc_auc,balanced_accuracy
delta_pos,published_litraj,regression,random_forest,0,-0.299590312235843,0.1954095462529172,-0.2110060311268425,,
delta_pos,published_litraj,regression,ridge,0,-0.1699601507198225,0.18685765579792515,-0.08153586944884285,,
delta_pos,published_litraj,regression,random_forest,1,-0.15485513716590504,0.18575783874636267,-0.07458299687776031,,
delta_pos,published_litraj,regression,ridge,1,-0.04923054987923714,0.1803609954379579,0.07459132326175033,,
delta_pos,published_litraj,regression,random_forest,2,-0.15738109350072937,0.18401327893734704,-0.07107465399781489,,
delta_pos,published_litraj,regression,ridge,2,-0.1051470869768667,0.17972219826163063,0.08497433267779761,,
delta_pos,published_litraj,regression,random_forest,3,-0.2250114982087097,0.19185633398706292,-0.07463540225646813,,
delta_pos,published_litraj,regression,ridge,3,-0.05857152276138855,0.178004030481076,0.1023897939288753,,
delta_pos,published_litraj,regression,random_forest,4,-0.20421589496790826,0.1905651972727617,-0.18877984569172396,,
delta_pos,published_litraj,regression,ridge,4,-0.07619800488079775,0.1811871230751497,0.05248981477829181,,
delta_pos,published_litraj,regression,random_forest,5,-0.12234997106561951,0.18557363816075034,-0.0036847169335573176,,
delta_pos,published_litraj,regression,ridge,5,-0.11708151755508522,0.18032582372019793,0.06537475417410953,,
delta_pos,published_litraj,regression,random_forest,6,-0.2746017903726712,0.19644263006759735,-0.2567805759856654,,
delta_pos,published_litraj,regression,ridge,6,-0.1671468874738189,0.18912725828057805,-0.08167787088012711,,
delta_pos,published_litraj,regression,random_forest,7,-0.20111486600588147,0.1961697353780032,-0.21652875983036668,,
delta_pos,published_litraj,regression,ridge,7,-0.07100271538102088,0.18325463642871298,-0.0085708006739433,,
delta_pos,published_litraj,regression,random_forest,8,-0.13818384095029512,0.18553732692439678,-0.06796019670622183,,
delta_pos,published_litraj,regression,ridge,8,-0.092606909731201,0.18368889781857217,-0.016206195094188646,,
delta_pos,published_litraj,regression,random_forest,9,-0.1159613093339309,0.18027304224144203,-0.01986727351722383,,
delta_pos,published_litraj,regression,ridge,9,-0.08500052245228962,0.1799126543412075,0.037725046911187124,,
delta_pos,published_litraj,classification,logistic,0,,,,0.4955158829938815,0.5491157488894477
delta_pos,published_litraj,classification,random_forest,0,,,,0.41094627441119774,0.43818623753247843
delta_pos,published_litraj,classification,logistic,1,,,,0.5303830357891208,0.5277009471125639
delta_pos,published_litraj,classification,random_forest,1,,,,0.5116922303243651,0.5390160087167882
delta_pos,published_litraj,classification,logistic,2,,,,0.5669264940072081,0.578367278518146
delta_pos,published_litraj,classification,random_forest,2,,,,0.49509680663816946,0.50104769088928
delta_pos,published_litraj,classification,logistic,3,,,,0.5530131589975693,0.5683513536166289
delta_pos,published_litraj,classification,random_forest,3,,,,0.47799849132511935,0.50104769088928
delta_pos,published_litraj,classification,logistic,4,,,,0.5418657279356299,0.5439611097141899
delta_pos,published_litraj,classification,random_forest,4,,,,0.4572961193529461,0.49182801106361584
delta_pos,published_litraj,classification,logistic,5,,,,0.5415304668510602,0.5428715111893387
delta_pos,published_litraj,classification,random_forest,5,,,,0.5225882155728774,0.5490319336183053
delta_pos,published_litraj,classification,logistic,6,,,,0.5505825161344398,0.5705305506663314
delta_pos,published_litraj,classification,random_forest,6,,,,0.4957673288073087,0.5265275333165702
delta_pos,published_litraj,classification,logistic,7,,,,0.5047355628195457,0.49191182633475816
delta_pos,published_litraj,classification,random_forest,7,,,,0.45268627944011397,0.45901433241136536
delta_pos,published_litraj,classification,logistic,8,,,,0.5133685357472131,0.5225463079373062
delta_pos,published_litraj,classification,random_forest,8,,,,0.453105355795826,0.49727600368787195
delta_pos,published_litraj,classification,logistic,9,,,,0.5967647305339032,0.5827256726175509
delta_pos,published_litraj,classification,random_forest,9,,,,0.5454697845947531,0.5533903277177101
delta_pos,simple_geometry,regression,random_forest,0,-0.11123414092040229,0.19054126825640952,-0.10600427752001104,,
delta_pos,simple_geometry,regression,ridge,0,-0.29253297030390457,0.1974875447130148,-0.1807610600519545,,
delta_pos,simple_geometry,regression,random_forest,1,-0.04698879040131465,0.18218837448786013,0.06529882916191601,,
delta_pos,simple_geometry,regression,ridge,1,-0.10317732777762756,0.18824467010527757,-0.1235682931089861,,
delta_pos,simple_geometry,regression,random_forest,2,-0.12859066651296436,0.1923117346438167,-0.04177272181709504,,
delta_pos,simple_geometry,regression,ridge,2,-0.09445964853828515,0.18696136826232337,-0.09875861447174904,,
delta_pos,simple_geometry,regression,random_forest,3,-0.06084340626509399,0.18527259180472608,0.04289353280825461,,
delta_pos,simple_geometry,regression,ridge,3,-0.14526948952260654,0.1900496413914144,-0.11109245307472543,,
delta_pos,simple_geometry,regression,random_forest,4,-0.15796126604436123,0.19030917908444125,0.005866584921797581,,
