outcome,feature_set,task,model,permutation,score
delta_pos,published_litraj,regression,random_forest,0,-0.09427721868096836
delta_pos,published_litraj,regression,ridge,0,-0.12938607053090687
delta_pos,published_litraj,regression,random_forest,1,-0.07403741856357585
delta_pos,published_litraj,regression,ridge,1,-0.017918359329852408
delta_pos,published_litraj,regression,random_forest,2,-0.05384172427512668
delta_pos,published_litraj,regression,ridge,2,-0.04597794628233152
delta_pos,published_litraj,regression,random_forest,3,-0.10224105027310608
delta_pos,published_litraj,regression,ridge,3,-0.11117236799906824
delta_pos,published_litraj,regression,random_forest,4,-0.032102464226403636
delta_pos,published_litraj,regression,ridge,4,-0.03264008800055
delta_pos,published_litraj,regression,random_forest,5,-0.033285607220071164
delta_pos,published_litraj,regression,ridge,5,-0.10407164380089395
delta_pos,published_litraj,regression,random_forest,6,-0.07329742471300842
delta_pos,published_litraj,regression,ridge,6,-0.0738209545812801
delta_pos,published_litraj,regression,random_forest,7,-0.028252106779838693
delta_pos,published_litraj,regression,ridge,7,-0.05000167437965171
delta_pos,published_litraj,regression,random_forest,8,-0.06551703726525551
delta_pos,published_litraj,regression,ridge,8,-0.05554212965042624
delta_pos,published_litraj,regression,random_forest,9,-0.08777591829263305
delta_pos,published_litraj,regression,ridge,9,-0.016461485215043113
delta_pos,published_litraj,regression,random_forest,10,-0.03840756071177982
delta_pos,published_litraj,regression,ridge,10,-0.02963756147365182
delta_pos,published_litraj,regression,random_forest,11,-0.03214366304751315
delta_pos,published_litraj,regression,ridge,11,-0.005625050960166067
delta_pos,published_litraj,regression,random_forest,12,-0.0489532520016341
delta_pos,published_litraj,regression,ridge,12,-0.023801667046140385
delta_pos,published_litraj,regression,random_forest,13,-0.05021848796169555
delta_pos,published_litraj,regression,ridge,13,-0.04632568277644713
delta_pos,published_litraj,regression,random_forest,14,-0.07056297645634166
delta_pos,published_litraj,regression,ridge,14,-0.06197464510067523
delta_pos,published_litraj,regression,random_forest,15,-0.06600162243046925
delta_pos,published_litraj,regression,ridge,15,-0.03718176396232287
delta_pos,published_litraj,regression,random_forest,16,-0.10310723209667745
delta_pos,published_litraj,regression,ridge,16,-0.08996212893079536
delta_pos,published_litraj,regression,random_forest,17,-0.10943191245234822
delta_pos,published_litraj,regression,ridge,17,-0.05665407217376304
delta_pos,published_litraj,regression,random_forest,18,-0.06309105206765245
delta_pos,published_litraj,regression,ridge,18,-0.07592889618458047
delta_pos,published_litraj,regression,random_forest,19,-0.004926532548982188
delta_pos,published_litraj,regression,ridge,19,-0.002370776983546441
delta_pos,published_litraj,regression,random_forest,20,-0.05956505529164717
delta_pos,published_litraj,regression,ridge,20,-0.06636577459403814
delta_pos,published_litraj,regression,random_forest,21,-0.10884608242735097
delta_pos,published_litraj,regression,ridge,21,-0.08427480692220501
delta_pos,published_litraj,regression,random_forest,22,-0.07063682044004356
delta_pos,published_litraj,regression,ridge,22,-0.03816746608386987
delta_pos,published_litraj,regression,random_forest,23,-0.07971352997122194
delta_pos,published_litraj,regression,ridge,23,-0.06948464348093653
delta_pos,published_litraj,regression,random_forest,24,-0.09578957968602134
delta_pos,published_litraj,regression,ridge,24,-0.061215471516843166
delta_pos,published_litraj,regression,random_forest,25,-0.024503530199540758
delta_pos,published_litraj,regression,ridge,25,-0.01828852745625633
delta_pos,published_litraj,regression,random_forest,26,-0.03908745819891046
delta_pos,published_litraj,regression,ridge,26,-0.026339252953213998
delta_pos,published_litraj,regression,random_forest,27,-0.06204641107346849
delta_pos,published_litraj,regression,ridge,27,-0.05926480239918201
delta_pos,published_litraj,regression,random_forest,28,-0.11507214122700127
delta_pos,published_litraj,regression,ridge,28,-0.07691720182746056
delta_pos,published_litraj,regression,random_forest,29,-0.07392996924047415
delta_pos,published_litraj,regression,ridge,29,-0.02700553855138992
delta_pos,published_litraj,regression,random_forest,30,-0.06197441430926258
delta_pos,published_litraj,regression,ridge,30,-0.03882084719771659
delta_pos,published_litraj,regression,random_forest,31,-0.037192860321431875
delta_pos,published_litraj,regression,ridge,31,-0.05175137353482593
