outcome,feature_set,task,model,r2_mean,r2_sd,mae_mean,mae_sd,spearman_mean,spearman_sd,roc_auc_mean,roc_auc_sd,balanced_accuracy_mean,balanced_accuracy_sd,permutation_p,null_score_mean,null_score_95
delta_bvse,published_litraj,classification,logistic,,,,,,,0.48410596026490066,0.025305277739968237,0.481941645071504,0.023033474350131627,0.5864135864135864,0.4950344274882426,0.5755168442268932
delta_bvse,published_litraj,classification,random_forest,,,,,,,0.5239466359535464,0.0300785725693272,0.5048565121412805,0.026647407082163337,0.27172827172827174,0.4926669594010941,0.5806063441789039
delta_bvse,published_litraj,regression,random_forest,-0.0339064144976758,0.029654434382019375,0.14182441621170583,0.002547146810151931,0.1277272859264333,0.053678116139382864,,,,,0.16783216783216784,-0.06364074891510044,-0.009888373372596194
delta_bvse,published_litraj,regression,ridge,-0.08227480464562142,0.024797531296040638,0.14964442789024085,0.00155011191492752,-0.03039382857271657,0.028785864718793474,,,,,0.9470529470529471,-0.04841111253765056,-0.01223337601806957
delta_bvse,published_plus_profiles,classification,logistic,,,,,,,0.4763892887993089,0.03063544775538588,0.48859775410308093,0.030482583151839292,0.6933066933066933,0.4986844610807179,0.579254247048661
delta_bvse,published_plus_profiles,classification,random_forest,,,,,,,0.5407140800460697,0.04624506386238353,0.5241817832805451,0.04147586441873577,0.16683316683316685,0.4887558162971494,0.5763696132066417
delta_bvse,published_plus_profiles,regression,random_forest,-0.099764133621791,0.0424213883275936,0.14763504029684432,0.002813436814851155,0.02594298529834388,0.04926655527168478,,,,,0.968031968031968,-0.05358562131460787,-0.007966255610779726
delta_bvse,published_plus_profiles,regression,ridge,-0.3404159085931317,0.08671679344750192,0.16805627552525731,0.005146514432778968,-0.10774719237249455,0.06276194534205348,,,,,0.99000999000999,-0.2087634745596091,-0.12148709792700925
delta_bvse,simple_geometry,classification,logistic,,,,,,,0.416796237642768,0.034761158172503255,0.4446683942796813,0.03579697152166781,0.922077922077922,0.49214155869085324,0.5754223054035895
delta_bvse,simple_geometry,classification,random_forest,,,,,,,0.42507918226317304,0.039270149623059934,0.4552404261445437,0.02226615087128976,0.9040959040959041,0.49396974277761785,0.5802692196947883
delta_bvse,simple_geometry,regression,random_forest,-0.13051521099172061,0.0383351159669639,0.15416216404431218,0.0033851406924905333,-0.020319648093078752,0.05190130813170194,,,,,0.932067932067932,-0.077886080037804,-0.020105037891007205
delta_bvse,simple_geometry,regression,ridge,-0.09101136942137056,0.03971433174652135,0.15105915450117235,0.0033167025036697664,0.006692099198142712,0.055741403242843046,,,,,0.989010989010989,-0.038262842908722165,-0.0092408249777219
delta_bvse,trajectory_profiles,classification,logistic,,,,,,,0.4857855840291775,0.028717562976796635,0.5019099721662348,0.022792876622140808,0.5514485514485514,0.49213713408196563,0.5747974853632786
delta_bvse,trajectory_profiles,classification,random_forest,,,,,,,0.5409348305979461,0.03486625917849813,0.5135425664651119,0.034493963420942526,0.17082917082917082,0.4900698435550436,0.5775141568288703
delta_bvse,trajectory_profiles,regression,random_forest,-0.11178321176974597,0.03897760736754738,0.14919778094045988,0.0022494226803054414,0.005023695080101203,0.04444457086229617,,,,,0.993006993006993,-0.0495918681913803,-0.004444132799294547
delta_bvse,trajectory_profiles,regression,ridge,-0.2662169694491007,0.06631795132394472,0.16370878143860781,0.0037278515920578245,-0.13968500476155593,0.06795507507203095,,,,,0.99000999000999,-0.1558449134431686,-0.07947138677525704
delta_pos,published_litraj,classification,logistic,,,,,,,0.5394686111809572,0.030287034776597704,0.5478082306596261,0.028478380955376574,0.18581418581418582,0.49488902019948033,0.5679498784678567
delta_pos,published_litraj,classification,random_forest,,,,,,,0.4822646886262677,0.03984264997732957,0.5056365769843265,0.03762397228830944,0.6153846153846154,0.4954410946274411,0.5726261419830692
delta_pos,published_litraj,regression,random_forest,-0.18932657138074935,0.06303149498986174,0.18915985679686412,0.00571063261555123,-0.11849004529236447,0.090550772854566,,,,,1.0,-0.06055868951673641,-0.01126584226709766
delta_pos,published_litraj,regression,ridge,-0.09919458678115282,0.041760941902416984,0.18224412736430082,0.0034942535886951466,0.02295543296349098,0.06675522774410753,,,,,0.981018981018981,-0.048409509369277175,-0.012316341729986855
delta_pos,published_plus_profiles,classification,logistic,,,,,,,0.474528539099824,0.024932697635615897,0.4780906881233761,0.021619031363588673,0.6493506493506493,0.4947300142485961,0.5715074176514962
delta_pos,published_plus_profiles,classification,random_forest,,,,,,,0.43515212471712345,0.038591121277518424,0.46694744782499364,0.03766415080168746,0.8621378621378621,0.4891890914424608,0.5657153633392004
delta_pos,published_plus_profiles,regression,random_forest,-0.0808980045463649,0.05153349693909148,0.18431671873983094,0.0046504031403969154,-0.1169993941772626,0.07617518225450436,,,,,0.8811188811188811,-0.048260064242711266,-0.0030011581221148376
delta_pos,published_plus_profiles,regression,ridge,-0.16299898894375534,0.053331725468792605,0.2147323647371912,0.004796763085697797,0.06857891504144525,0.020622376256622714,,,,,0.18981018981018982,-0.21142669681550144,-0.12433416861470528
delta_pos,simple_geometry,classification,logistic,,,,,,,0.4230743441455034,0.033267379324479936,0.4531807895398542,0.024018091060112177,0.9300699300699301,0.4920922889950549,0.5687641438270052
delta_pos,simple_geometry,classification,random_forest,,,,,,,0.4159165199899421,0.024393813550916833,0.4283421339368033,0.026472857646677107,0.9530469530469531,0.49321500712429805,0.5696268125052384
delta_pos,simple_geometry,regression,random_forest,-0.09274264265930614,0.046781017428935145,0.18803127340011244,0.004142422653546031,-0.007891520002477653,0.06358099061566672,,,,,0.7552447552447552,-0.0722740296666044,-0.02091628170182584
delta_pos,simple_geometry,regression,ridge,-0.4368337995464781,0.6113358040637293,0.19443624675799295,0.011283209952092744,-0.12038858804370486,0.059435082505432155,,,,,0.8701298701298701,-0.22117079016579283,-0.036297901712897374
delta_pos,trajectory_profiles,classification,logistic,,,,,,,0.38841672952811995,0.023577043589385022,0.4224247757941496,0.0232178256646095,0.977022977022977,0.49314619897745365,0.5725995306344815
delta_pos,trajectory_profiles,classification,random_forest,,,,,,,0.4406923141396362,0.0388052023269817,0.4673539518900343,0.028945467675240776,0.8501498501498501,0.4904594836979298,0.5709010141647808
delta_pos,trajectory_profiles,regression,random_forest,-0.06472781284950592,0.04377974587941881,0.18452996320315493,0.0038297401374646238,-0.12175640286081386,0.076012292949486,,,,,0.7642357642357642,-0.047283021498298,-0.004493801898893409
delta_pos,trajectory_profiles,regression,ridge,-0.15017145078003727,0.05317420149366608,0.21255042580362962,0.0034398277283724746,-0.0019122859412948035,0.034093426260297564,,,,,0.3946053946053946,-0.16360011435580088,-0.08749984213973527
