theory,trajectory_source,target_source,method,params,train,val,test
bvse,init,em_bvse,crystal,34593,0.7273,0.6978,0.8957
bvse,init,em_bvse,midpoint,34593,0.4982,0.5048,0.7735
bvse,init,em_bvse,trajectory,34593,0.4137,0.4454,0.5826
bvse,init,em_bvse,positional,34593,0.2563,0.2696,0.3228
bvse,init,em_bvse,segmented,34593,0.6118,0.6289,0.7863
bvse,init,em_bvse,randomized,34593,0.7369,0.7324,0.9290
bvse,init,em_bvse,image_coordination,34593,0.4500,0.4657,0.6273
bvse,init,em_bvse,geometric_bottleneck,34593,0.3363,0.3896,0.5339
bvse,init,em_bvse,coordination_change,34593,0.4411,0.4837,0.6244
bvse,init,em_bvse,species_image,34593,0.5898,0.6394,0.8192
bvse,init,em_bvse,position_aware_trajectory_graph,34593,0.4468,0.4634,0.6086
bvse,init,em_bvse,position_aware_trajectory_graph_shuffled,34593,0.3315,0.3553,0.4356
dft,relaxed,em_dft,crystal,34593,0.4305,0.4896,0.5300
dft,relaxed,em_dft,midpoint,34593,0.2447,0.3135,0.3638
dft,relaxed,em_dft,trajectory,34593,0.2620,0.3447,0.3367
dft,relaxed,em_dft,positional,34593,0.2011,0.2681,0.2755
dft,relaxed,em_dft,segmented,34593,0.2310,0.3408,0.3733
dft,relaxed,em_dft,randomized,34593,0.4241,0.4952,0.5472
dft,relaxed,em_dft,image_coordination,34593,0.2253,0.2862,0.3326
dft,relaxed,em_dft,geometric_bottleneck,34593,0.2604,0.4025,0.3976
dft,relaxed,em_dft,coordination_change,34593,0.4251,0.4778,0.5413
dft,relaxed,em_dft,species_image,34593,0.2718,0.3758,0.4080
dft,relaxed,em_dft,position_aware_trajectory_graph,34593,0.2587,0.3229,0.3366
dft,relaxed,em_dft,position_aware_trajectory_graph_shuffled,34593,0.2554,0.3127,0.3974
