experiment,trajectory_source,target_source,method,params,train,val,test
dft_path_to_dft_barrier,relaxed,em_dft,crystal,34593,0.4305,0.4896,0.5300
dft_path_to_dft_barrier,relaxed,em_dft,midpoint,34593,0.2447,0.3135,0.3638
dft_path_to_dft_barrier,relaxed,em_dft,trajectory,34593,0.2620,0.3447,0.3367
dft_path_to_dft_barrier,relaxed,em_dft,positional,34593,0.2011,0.2681,0.2755
bvse_path_to_dft_barrier,init,em_dft,crystal,34593,0.4199,0.4783,0.5352
bvse_path_to_dft_barrier,init,em_dft,midpoint,34593,0.2697,0.3134,0.3834
bvse_path_to_dft_barrier,init,em_dft,trajectory,34593,0.2587,0.3475,0.3540
bvse_path_to_dft_barrier,init,em_dft,positional,34593,0.2421,0.2769,0.3065
bvse_path_plus_scalar_to_dft_barrier,init,em_dft,crystal,34625,0.2614,0.3014,0.2968
bvse_path_plus_scalar_to_dft_barrier,init,em_dft,midpoint,34625,0.2132,0.2536,0.2691
bvse_path_plus_scalar_to_dft_barrier,init,em_dft,trajectory,34625,0.2550,0.3036,0.3008
bvse_path_plus_scalar_to_dft_barrier,init,em_dft,positional,34625,0.1852,0.2575,0.2523
calibrated_bvse_plus_path_delta_to_dft_barrier,init,em_dft,crystal,34593,0.2546,0.3116,0.2949
calibrated_bvse_plus_path_delta_to_dft_barrier,init,em_dft,midpoint,34593,0.2072,0.2679,0.2608
calibrated_bvse_plus_path_delta_to_dft_barrier,init,em_dft,trajectory,34593,0.2583,0.3035,0.2994
calibrated_bvse_plus_path_delta_to_dft_barrier,init,em_dft,positional,34593,0.1942,0.2542,0.2682
bvse_scalar_to_dft_barrier,none,em_dft,raw_em_bvse,0,0.5998,0.5420,0.6936
bvse_scalar_to_dft_barrier,none,em_dft,"affine_em_bvse(a=0.3991,b=0.2989)",0,0.3124,0.3460,0.2962
