outcome,variable,hypothesis,n,spearman_rho,bootstrap_ci_low,bootstrap_ci_high
delta_pos,dft_barrier,DFT migration barrier,220,0.06826437060119572,-0.08606072959545522,0.22361915439600774
delta_pos,affine_bvse_absolute_error,absolute calibrated-BVSE error,220,0.0709105560032232,-0.07368108522835076,0.21282151892162865
delta_pos,dft_path_length,DFT path length,220,0.03939300023103407,-0.11953319399570783,0.1874205290473643
delta_pos,dft_tortuosity,DFT path tortuosity,220,-0.013288403779942861,-0.15821103225819874,0.1267858720488118
delta_pos,dft_bottleneck_mean_k_distance,DFT bottleneck clearance,220,-0.09568980576232791,-0.237201792715532,0.051268404695285284
delta_pos,dft_coordination_range,DFT coordination variation,220,0.04738273524693211,-0.08401083393567224,0.17948679331454126
delta_pos,bvse_path_length,BVSE path length,220,0.028857846424325068,-0.12296350508779501,0.18334009116642971
delta_pos,bvse_tortuosity,BVSE path tortuosity,220,0.07393541188867538,-0.0649931654956545,0.21352040211614273
delta_pos,bvse_bottleneck_mean_k_distance,BVSE bottleneck clearance,220,-0.09505079932154871,-0.24331123067947702,0.0641905186043355
delta_pos,bvse_coordination_range,BVSE coordination variation,220,0.058381793545825116,-0.07278349160977961,0.1860636466813649
delta_bvse,dft_barrier,DFT migration barrier,220,-0.16607405487341023,-0.3119317033591149,-0.013914930277244029
delta_bvse,affine_bvse_absolute_error,absolute calibrated-BVSE error,220,0.5468892107087111,0.4217615507565068,0.6573384051081158
delta_bvse,dft_path_length,DFT path length,220,-0.13649718532877275,-0.27947756867853196,0.01228500214964294
delta_bvse,dft_tortuosity,DFT path tortuosity,220,-0.02783904250463477,-0.16210016057411253,0.10591343627423844
delta_bvse,dft_bottleneck_mean_k_distance,DFT bottleneck clearance,220,0.09869550272451158,-0.035360376026901515,0.2388055686477828
delta_bvse,dft_coordination_range,DFT coordination variation,220,-0.16762270841022117,-0.29659568156579774,-0.030462069915032974
delta_bvse,bvse_path_length,BVSE path length,220,-0.096869770036571,-0.23565591339990113,0.046494316430292684
delta_bvse,bvse_tortuosity,BVSE path tortuosity,220,0.012010390898384453,-0.11613365822440522,0.13980605730686374
delta_bvse,bvse_bottleneck_mean_k_distance,BVSE bottleneck clearance,220,-0.10455475225821721,-0.24883103742767587,0.043603888777641826
delta_bvse,bvse_coordination_range,BVSE coordination variation,220,-0.15111325305992787,-0.2910728054007789,-0.011039625012380186
