source,midpoint_prediction,midpoint_prediction_sd,midpoint_seeds,positional_prediction,positional_prediction_sd,positional_seeds,affine_bvse_prediction,affine_bvse_prediction_sd,affine_bvse_seeds,bvse_delta_prediction,bvse_delta_prediction_sd,bvse_delta_seeds,dft_barrier,midpoint_absolute_error,positional_absolute_error,delta_pos,affine_bvse_absolute_error,bvse_delta_absolute_error,delta_bvse,dft_path_length,dft_endpoint_displacement,dft_tortuosity,dft_bottleneck_mean_k_distance,dft_bottleneck_path_coordinate,dft_coordination_at_bottleneck,dft_smooth_coordination_at_bottleneck,dft_coordination_range,dft_smooth_coordination_range,composition_family,anion_family,em_bvse,bvse_path_length,bvse_endpoint_displacement,bvse_tortuosity,bvse_bottleneck_mean_k_distance,bvse_bottleneck_path_coordinate,bvse_coordination_at_bottleneck,bvse_smooth_coordination_at_bottleneck,bvse_coordination_range,bvse_smooth_coordination_range
nebDFT2k:mp-1020056_0_0_1_1_0,1.5991079449653625,0.5701858306239254,10,2.608033847808838,0.3156535926016508,10,1.1513273858942557,0.0,10,2.533695864677429,0.3079659545375945,10,2.06686851521863,0.46776057025326745,0.5411653325902082,-0.07340476233694071,0.9155411293243743,0.4668273494587991,0.44871377986557515,5.779497694726756,5.181886005588375,1.1153270620955171,2.036745745813577,0.3680214525438304,9.0,0.9294845961703652,2.0,0.3908737415661556,Li15N80Si32Ca48,N,2.135842168248376,6.090845403200019,5.1818860013966805,1.1754109221156823,1.9044703818380069,0.3354263966141676,9.0,1.154280241049072,1.0,0.4775265018339739
nebDFT2k:mp-1020056_0_2_1_0_0,0.5288663506507874,0.18579422401391796,10,0.756853798031807,0.23371160471231867,10,0.5208987937733469,0.0,10,0.8131173014640808,0.43398811740001697,10,0.13001933520411055,0.3988470154466768,0.6268344628276964,-0.22798744738101961,0.39087945856923634,0.6830979662599702,-0.2922185076907339,2.0616527883634954,2.027377400428485,1.0169062691178103,2.1590253967846698,0.2380671398271903,7.0,0.620880669266016,5.0,0.0616000113879113,Li15N80Si32Ca48,N,0.5561819799531005,2.772075621413881,2.6501024403276467,1.0460258362960315,2.1472490791794843,0.5021748725355212,8.0,0.7188915712322952,5.0,0.0862353241760732
nebDFT2k:mp-1020056_2_2_1_1_0,1.5922298789024354,0.544522937230159,10,2.2594040513038633,0.3088958221388239,10,1.378566085915626,0.0,10,2.4072279214859007,0.3200497155977646,10,1.4526391147018671,0.13959076420056826,0.8067649366019962,-0.667174172401428,0.07407302878624122,0.9545888067840336,-0.8805157779977923,5.714277095259645,5.181886004443156,1.1027407956022182,2.0514146681868572,0.6026903774600298,10.0,0.9243700106680884,5.0,0.2543929791252475,Li15N80Si32Ca48,N,2.705232472162268,5.537276566797638,5.1818860013966805,1.0685832465834193,1.8489417116981797,0.6618191866650972,10.0,1.2845564637922642,6.0,0.523561010372799
nebDFT2k:mp-1147726_4_6_1_0_0,0.3113276898860931,0.0795579739491518,10,0.21018281579017634,0.09998090904198412,10,0.40790262504814,0.0,10,0.2762701988220214,0.04334863388747785,10,0.17455814834103478,0.13676954154505833,0.035624667449141556,0.10114487409591677,0.23334447670710523,0.10171205048098664,0.1316324262261186,5.173179943834105,3.8883867577467086,1.3304180541011628,2.446675873312599,0.0,4.0,0.2798351625099308,1.0,0.0846895329361682,Li23P12S48Zn6,S,0.2730483286626279,6.910682707482127,3.9513407572415034,1.7489462772394728,2.4194418267936055,0.7665307550735317,4.0,0.3102791324002124,1.0,0.0863034514387616
nebDFT2k:mp-1174212_5_7_0_0_0,0.3841370910406112,0.074269023460371,10,0.4455973893404007,0.06069051478053037,10,0.7005929840672787,0.0,10,0.4427908658981323,0.04486154540339728,10,0.8727639313134432,0.488626840272832,0.4271665419730425,0.061460298299789495,0.17217094724616455,0.4299730654153109,-0.25780211816914633,2.835333796077017,2.74037553176692,1.0346515516611954,2.039134995429999,0.7557932784516438,12.0,0.9419016823174092,7.0,0.2489400662455068,Li31O56Co24,O,1.0064403629371628,3.2831581660565745,2.875624900572334,1.141719897265853,1.8562593346469356,0.5030924721755888,6.0,1.153070283542772,11.0,0.0819652792685381
nebDFT2k:mp-1175313_9_13_0_0_0,0.38051626980304715,0.033606935564124495,10,0.385898694396019,0.0520490463382573,10,0.7304350223958338,0.0,10,0.4852720648050308,0.10227188578213574,10,0.573661385225023,0.19314511542197582,0.187762690829004,0.005382424592971835,0.15677363717081083,0.08838932041999215,0.06838431675081869,2.928593453516623,2.712511450226794,1.0796612317606114,2.1156989900004466,1.0,12.0,0.8417431878814394,3.0,0.0979062434369426,Li55O96Mn40,O,1.081215334241382,3.240481445240284,2.8791344944784716,1.1255054084672995,1.9374220709350525,0.5034095057300491,6.0,1.0175152113207468,7.0,0.1565550960779363
nebDFT2k:mp-1175624_0_3_0_1_0,0.40151652693748474,0.08682367410829189,10,0.4769549399614334,0.11682164701790017,10,0.8194716615756062,0.0,10,0.5181122422218323,0.07941535037360671,10,0.4071036284401258,0.005587101502641079,0.06985131152130758,-0.0642642100186665,0.4123680331354804,0.11100861378170646,0.30135941935377397,2.7103461387109,2.5881529952884588,1.0472124884598726,2.094668838319209,0.4998650808045041,9.0,0.8463740964625291,4.0,0.0570296433864422,Li35O64Mn8Co20,O,1.3043137723035363,3.2524414204757313,2.952844309302853,1.1014605173151208,1.8694158633925848,0.4991894415104442,6.0,1.1362573430792533,11.0,0.183720578304274
nebDFT2k:mp-1175840_1_1_1_0_0,1.734479260444641,0.14645939568088284,10,1.7729157090187073,0.23614102199593437,10,1.7533621918035815,0.0,10,1.6062649488449097,0.11465334840898594,10,2.1720254665925722,0.43754620614793116,0.3991097575738649,0.03843644857406625,0.4186632747889907,0.5657605177476626,-0.14709724295867188,5.214802911565228,4.975317221539516,1.048134757918332,1.9745287138374792,0.6742927935337789,7.0,1.0095744642587978,9.0,0.1079253409084115,Li35O64Mn8Co20,O,3.644356259691492,5.288993723928547,4.975261,1.06305854585891,1.5441043493332107,0.49789360207784,10.0,1.709216984418211,10.0,0.653616888795747
nebDFT2k:mp-1176566_0_2_0_0_0,0.5645624369382858,0.10223929730718323,10,0.4164240896701813,0.08370804052724527,10,0.6386552193754514,0.0,10,0.44516538381576537,0.11137991786123912,10,0.17504152491702027,0.3895209120212655,0.24138256475316103,0.14813834726810446,0.46361369445843115,0.27012385889874513,0.19348983555968602,2.3007980540937836,2.142533422782539,1.0738679871353902,1.9097327376182776,0.5479901373234899,7.0,0.9034125959112574,5.0,0.025934361708456,Li15O64Si16Ti16,O,0.8512433711469878,2.9706499747768618,2.7169952419774206,1.0933585487675834,1.82796464730926,0.5008374464748752,7.0,1.0601023378650358,4.0,0.1043751024925279
nebDFT2k:mp-1176566_0_2_0_1_0,1.8464092850685119,0.6135344313121965,10,1.7798832535743714,0.2721777763977181,10,1.8908212544357383,0.0,10,2.1287952423095704,0.2176285906989479,10,2.8486144832020557,1.0022051981335438,1.0687312296276843,-0.06652603149414049,0.9577932287663173,0.7198192408924853,0.23797398787383206,5.745988549271803,5.03482281695927,1.141249406020217,1.9225401721909945,0.6757449301300812,12.0,1.2472386922315004,5.0,0.5086713115317715,Li15O64Si16Ti16,O,3.9887864005102953,6.105052623708955,5.070292442544626,1.2040829385858884,1.7053346153430369,0.3417774139293153,11.0,1.5426244602827937,2.0,0.6718990142656711
nebDFT2k:mp-1176649_6_7_0_0_0,0.9342743217945099,0.20010510329029418,10,1.311507773399353,0.24022351548003074,10,0.9110472697612776,0.0,10,0.7823225498199463,0.07866953410893661,10,0.9662818259483572,0.032007504153847344,0.3452259474509958,-0.31321844329714843,0.05523455618707962,0.1839592761284109,-0.12872471994133128,4.453796954254539,4.36648039381139,1.0199970119107606,2.043542786847974,1.0,8.0,0.7699412898940268,3.0,0.1681300357489199,Li15O64F16P16Mn16,O+F,1.5337740859342484,4.598582301785365,4.4298694338711515,1.0380852913235368,1.888702193219186,0.4960600917552787,10.0,1.314450397381144,4.0,0.5386526495081541
nebDFT2k:mp-1176994_9_9_1_0_0,1.6881629705429078,0.30582941882797265,10,2.096464467048645,0.20097351503331715,10,2.0390147956401914,0.0,10,2.560882592201233,0.20051146985619211,10,2.2720789882022245,0.5839160176593168,0.17561452115357934,0.40830149650573744,0.23306419256203315,0.2888036039990083,-0.05573941143697514,5.111455607948042,4.9588885335666,1.0307663851181006,1.905392591825044,0.6681830295326535,7.0,1.1296965889253476,10.0,0.1366050748300014,Li55O96Si16V24,O,4.360113843663878,5.179445943661855,4.96028325,1.0441835037670186,1.5347494682816687,0.4977049503004946,11.0,1.826275162244623,10.0,0.7608049732767224
nebDFT2k:mp-1177804_0_1_0_0_1,1.6483089685440064,0.36505007908896564,10,2.1646708250045776,0.20874800416940764,10,1.788925969929026,0.0,10,2.0314053177833555,0.30224217608054715,10,1.6887457253068874,0.04043675676288094,0.47592509969769026,-0.4354883429348093,0.1001802446221387,0.34265959247646816,-0.24247934785432945,5.083584863143663,4.996194166355374,1.0174914532699275,1.9991569931381612,0.2619111632910431,7.0,0.9309226164908512,7.0,0.1557289240827727,Li47O96V24Co24,O,3.7334681514303054,5.445807564371832,5.096676593547174,1.0685016921157384,1.5545754837428198,0.5043710869031997,10.0,1.6959752775304684,10.0,0.730784798080819
nebDFT2k:mp-1177804_0_2_0_0_1,0.42086168229579923,0.05540868848911886,10,0.5421376913785935,0.05094952199784091,10,0.7088408772637085,0.0,10,0.48792293667793274,0.08115845669871462,10,0.3489684496910854,0.07189323260471381,0.19316924168750804,-0.12127600908279423,0.35987242757262305,0.13895448698684731,0.22091794058577574,2.623200514684739,2.558624491152892,1.0252385700813602,2.0918293508623567,0.8190395469418232,11.0,0.8471860772526804,3.0,0.1043282693350096,Li47O96V24Co24,O,1.0271070469717167,3.2604958761269396,2.9372384478725637,1.110054881137931,1.8922175777618184,0.493794432480099,6.0,1.0855947936630077,10.0,0.1684239202402857
nebDFT2k:mp-1177943_4_7_0_0_0,1.0555197715759277,0.19995896529714136,10,0.8269593298435212,0.12944291538889527,10,0.5350248380913609,0.0,10,0.873631888628006,0.19184629928503716,10,0.9865845381363554,0.06893523343957231,0.15962520829283422,-0.09068997485326191,0.45155970004499446,0.11295264950834938,0.3386070505366451,3.3889419910477896,3.1270460324120997,1.083751871869207,2.069037641235981,0.2466342036182093,10.0,0.8900739758675627,1.0,0.1632066713101154,Li63O64Fe32,O,0.5915775031037729,3.499424431274897,3.137262234529019,1.1154389304024015,1.880548321366935,0.2558541481758972,10.0,1.1999824152831104,2.0,0.1575646219821993
nebDFT2k:mp-1178166_8_9_0_0_1,0.628833669424057,0.18688552928891347,10,1.3427943646907807,0.5414554994134755,10,0.7735207629326153,0.0,10,1.0579079389572144,0.24861467304362808,10,0.8422648307995928,0.21343116137553575,0.5005295338911879,-0.2870983725156522,0.06874406786697751,0.21564310815762155,-0.14689904029064405,3.6023073192132795,3.238504355507746,1.1123367220694982,2.0385687353114723,0.0,7.0,0.7600122446346445,1.0,0.1847032871045383,Li7O32K16Nb8,O,1.189174950698816,4.325077910474295,3.3769012293827654,1.2807830660966175,1.9305748701764536,0.4979259120140277,5.0,0.8471721472449272,3.0,0.238502311561919
nebDFT2k:mp-1202443_0_6_0_0_1,1.7236428797245025,0.45216534980858475,10,0.9406061708927155,0.1259077299185933,10,0.9472833463384485,0.0,10,1.2075319647789002,0.07824167904575743,10,1.9113331924867794,0.18769031276227688,0.9707270215940639,-0.783036708831787,0.9640498461483309,0.7038012277078791,0.2602486184404518,7.5671730988881505,4.977406996456156,1.5203042677192906,1.9846232010593183,0.0,8.0,0.9170842690191944,5.0,0.4080187427491333,Li15O120Ge56,O,1.6245705508540969,7.845822434175089,4.98741565396895,1.573123833769788,1.9874190476662457,0.1681511462171683,10.0,0.959810836927948,3.0,0.5500785561384797
