source,dft_path_length,dft_endpoint_displacement,dft_tortuosity,dft_bottleneck_mean_k_distance,dft_bottleneck_path_coordinate,dft_coordination_at_bottleneck,dft_smooth_coordination_at_bottleneck,dft_coordination_range,dft_smooth_coordination_range,composition_family,anion_family,em_bvse,bvse_path_length,bvse_endpoint_displacement,bvse_tortuosity,bvse_bottleneck_mean_k_distance,bvse_bottleneck_path_coordinate,bvse_coordination_at_bottleneck,bvse_smooth_coordination_at_bottleneck,bvse_coordination_range,bvse_smooth_coordination_range
nebDFT2k:mp-1020056_0_0_1_1_0,5.779497694726756,5.181886005588375,1.1153270620955171,2.036745745813577,0.36802145254383045,9.0,0.9294845961703652,2.0,0.3908737415661556,Li15N80Si32Ca48,N,2.135842168248376,6.090845403200019,5.1818860013966805,1.1754109221156825,1.9044703818380069,0.3354263966141676,9.0,1.154280241049072,1.0,0.47752650183397394
nebDFT2k:mp-1020056_0_2_1_0_0,2.0616527883634954,2.0273774004284846,1.0169062691178103,2.1590253967846698,0.23806713982719033,7.0,0.620880669266016,5.0,0.06160001138791138,Li15N80Si32Ca48,N,0.5561819799531005,2.772075621413881,2.6501024403276467,1.0460258362960315,2.1472490791794843,0.5021748725355212,8.0,0.7188915712322952,5.0,0.08623532417607327
nebDFT2k:mp-1020056_2_2_1_1_0,5.714277095259645,5.181886004443156,1.1027407956022182,2.0514146681868572,0.6026903774600298,10.0,0.9243700106680883,5.0,0.2543929791252475,Li15N80Si32Ca48,N,2.705232472162268,5.537276566797638,5.1818860013966805,1.0685832465834193,1.8489417116981797,0.6618191866650972,10.0,1.2845564637922642,6.0,0.523561010372799
nebDFT2k:mp-1147726_4_6_1_0_0,5.173179943834105,3.8883867577467086,1.3304180541011628,2.446675873312599,0.0,4.0,0.2798351625099308,1.0,0.08468953293616827,Li23P12S48Zn6,S,0.2730483286626279,6.910682707482127,3.9513407572415034,1.7489462772394728,2.4194418267936055,0.7665307550735317,4.0,0.3102791324002124,1.0,0.08630345143876167
nebDFT2k:mp-1174212_5_7_0_0_0,2.835333796077017,2.74037553176692,1.0346515516611954,2.039134995429999,0.7557932784516438,12.0,0.9419016823174093,7.0,0.2489400662455068,Li31O56Co24,O,1.0064403629371628,3.2831581660565745,2.875624900572334,1.141719897265853,1.8562593346469356,0.5030924721755888,6.0,1.153070283542772,11.0,0.08196527926853814
nebDFT2k:mp-1175313_9_13_0_0_0,2.928593453516623,2.7125114502267946,1.0796612317606114,2.1156989900004466,1.0,12.0,0.8417431878814394,3.0,0.09790624343694265,Li55O96Mn40,O,1.081215334241382,3.240481445240284,2.8791344944784716,1.1255054084672995,1.9374220709350523,0.5034095057300491,6.0,1.0175152113207468,7.0,0.15655509607793638
nebDFT2k:mp-1175624_0_3_0_1_0,2.7103461387109,2.5881529952884588,1.0472124884598726,2.094668838319209,0.4998650808045041,9.0,0.8463740964625291,4.0,0.05702964338644223,Li35O64Mn8Co20,O,1.3043137723035363,3.2524414204757313,2.952844309302853,1.1014605173151208,1.8694158633925848,0.49918944151044425,6.0,1.1362573430792533,11.0,0.18372057830427402
nebDFT2k:mp-1175840_1_1_1_0_0,5.214802911565228,4.975317221539516,1.048134757918332,1.9745287138374794,0.6742927935337789,7.0,1.0095744642587978,9.0,0.10792534090841155,Li35O64Mn8Co20,O,3.644356259691492,5.288993723928547,4.975261,1.0630585458589101,1.5441043493332107,0.49789360207784,10.0,1.709216984418211,10.0,0.653616888795747
nebDFT2k:mp-1176566_0_2_0_0_0,2.3007980540937836,2.1425334227825394,1.0738679871353902,1.9097327376182778,0.5479901373234899,7.0,0.9034125959112574,5.0,0.02593436170845609,Li15O64Si16Ti16,O,0.8512433711469878,2.9706499747768618,2.7169952419774206,1.0933585487675834,1.82796464730926,0.5008374464748752,7.0,1.0601023378650358,4.0,0.1043751024925279
nebDFT2k:mp-1176566_0_2_0_1_0,5.745988549271803,5.03482281695927,1.141249406020217,1.9225401721909945,0.6757449301300812,12.0,1.2472386922315004,5.0,0.5086713115317715,Li15O64Si16Ti16,O,3.9887864005102953,6.105052623708955,5.070292442544626,1.2040829385858884,1.7053346153430367,0.3417774139293153,11.0,1.5426244602827937,2.0,0.6718990142656711
nebDFT2k:mp-1176649_6_7_0_0_0,4.453796954254539,4.36648039381139,1.0199970119107606,2.043542786847974,1.0,8.0,0.7699412898940268,3.0,0.16813003574891994,Li15O64F16P16Mn16,O+F,1.5337740859342484,4.598582301785365,4.4298694338711515,1.0380852913235368,1.888702193219186,0.4960600917552787,10.0,1.3144503973811439,4.0,0.5386526495081541
nebDFT2k:mp-1176994_9_9_1_0_0,5.111455607948042,4.9588885335666,1.0307663851181006,1.9053925918250438,0.6681830295326535,7.0,1.1296965889253476,10.0,0.1366050748300014,Li55O96Si16V24,O,4.360113843663878,5.179445943661855,4.96028325,1.0441835037670186,1.5347494682816687,0.4977049503004946,11.0,1.826275162244623,10.0,0.7608049732767224
nebDFT2k:mp-1177804_0_1_0_0_1,5.083584863143663,4.996194166355374,1.0174914532699275,1.9991569931381612,0.2619111632910431,7.0,0.9309226164908511,7.0,0.15572892408277272,Li47O96V24Co24,O,3.7334681514303054,5.445807564371832,5.096676593547174,1.0685016921157384,1.5545754837428198,0.5043710869031997,10.0,1.6959752775304684,10.0,0.730784798080819
nebDFT2k:mp-1177804_0_2_0_0_1,2.623200514684739,2.558624491152892,1.0252385700813602,2.0918293508623567,0.8190395469418232,11.0,0.8471860772526804,3.0,0.1043282693350096,Li47O96V24Co24,O,1.0271070469717167,3.2604958761269396,2.9372384478725637,1.110054881137931,1.8922175777618186,0.493794432480099,6.0,1.0855947936630075,10.0,0.16842392024028574
nebDFT2k:mp-1177943_4_7_0_0_0,3.3889419910477896,3.1270460324120997,1.083751871869207,2.0690376412359806,0.2466342036182093,10.0,0.8900739758675627,1.0,0.16320667131011546,Li63O64Fe32,O,0.5915775031037729,3.499424431274897,3.137262234529019,1.1154389304024015,1.880548321366935,0.25585414817589724,10.0,1.1999824152831104,2.0,0.15756462198219934
nebDFT2k:mp-1178166_8_9_0_0_1,3.6023073192132795,3.238504355507746,1.1123367220694982,2.0385687353114723,0.0,7.0,0.7600122446346445,1.0,0.18470328710453832,Li7O32K16Nb8,O,1.189174950698816,4.325077910474295,3.3769012293827654,1.2807830660966175,1.9305748701764536,0.4979259120140277,5.0,0.8471721472449272,3.0,0.23850231156191903
nebDFT2k:mp-1202443_0_6_0_0_1,7.5671730988881505,4.977406996456156,1.5203042677192906,1.9846232010593186,0.0,8.0,0.9170842690191945,5.0,0.4080187427491333,Li15O120Ge56,O,1.6245705508540969,7.845822434175089,4.98741565396895,1.5731238337697881,1.9874190476662457,0.1681511462171683,10.0,0.9598108369279479,3.0,0.5500785561384797
nebDFT2k:mp-1222404_0_0_0_1_-1,4.389677301704891,3.943880602353037,1.113035039419266,2.4537713637106515,0.5002623040568027,6.0,0.3361055756365375,3.0,0.11366051444502931,Li26S54Bi27,S,0.981299554128537,4.6588036205982375,3.959233693464763,1.1766932647315582,2.3539339745925907,0.5002439208936069,6.0,0.4723383880791313,3.0,0.2526846881911812
nebDFT2k:mp-1222469_0_0_0_1_0,18.02787952567943,14.012373380630857,1.2865685944822995,1.9825226258825226,0.0,6.0,0.7854629790765356,6.0,0.08675846031312417,Li7O48Al8Si16,O,0.6070170670905257,17.94016937574676,14.012373380630464,1.2803091159807198,1.9871773982858074,0.0,6.0,0.7797597957818516,7.0,0.18223255070053823
nebDFT2k:mp-1222510_2_2_0_1_0,5.280393701284643,5.094115821097572,1.0365672644142858,1.9736490373514282,0.31656536365016613,7.0,1.006758541661529,10.0,0.1334158004761028,Li23O48Mn8Co8Ni8,O,3.9057120753401353,5.403558606298949,5.094242812032278,1.060718698672173,1.5403803200707147,0.49965923822945063,10.0,1.7041056521044364,11.0,0.6654968771880578
nebDFT2k:mp-1222575_1_2_0_0_0,5.185326797869545,4.761063428650795,1.0891110516750624,2.0318778775837893,0.335006318669252,8.0,0.841945840155753,2.0,0.18451962930733612,Li7O48Si16Sc2In6,O,2.230480241463779,5.777518046604137,4.759551711366908,1.2138786165104773,1.8842823422551565,0.49855967585450983,8.0,1.1204377210607186,4.0,0.46727063897354126
nebDFT2k:mp-1222575_0_2_0_0_0,5.688602402443673,5.144914250596203,1.1056748714100466,1.8873739185337888,0.3249394773857368,9.0,1.0407774185394103,2.0,0.3481813044910326,Li7O48Si16Sc2In6,O,6.993538013056706,5.9691955175788145,5.286391369117924,1.1291626178965297,1.6108869368580585,0.4960794780642836,9.0,1.572540467685481,3.0,0.9260276055245829
