fold,scenario,method,n_seeds,mean_individual_seed_mae,sd_individual_seed_mae,ensemble_mae
0,affine_bvse,affine_em_bvse,3,0.3001569462533225,0.0,0.30015694625332257
0,bvse_calibrated_delta,positional,3,0.2553516608880675,0.0007758443532925891,0.24104315463768608
0,dft_path,crystal,3,0.5003222220146389,0.011408487996015952,0.4888970545442099
0,dft_path,midpoint,3,0.3391642713743211,0.007400276154334727,0.32696342759056773
0,dft_path,positional,3,0.3033764297411365,0.02057152698044368,0.28083306797293583
0,dft_path,trajectory,3,0.36336768403167446,0.009404349356738785,0.34562745141931134
1,affine_bvse,affine_em_bvse,3,0.35882091107233055,0.0,0.3588209110723305
1,bvse_calibrated_delta,positional,3,0.28561294593531783,0.00842959056708491,0.2746308237722752
1,dft_path,crystal,3,0.5521610080568883,0.010881722944730025,0.5461965290350227
1,dft_path,midpoint,3,0.3420380285185692,0.01603456901915493,0.32136893779015113
1,dft_path,positional,3,0.3111363530025517,0.017145920918286844,0.2878450890628866
1,dft_path,trajectory,3,0.3752324177492228,0.02253505921985592,0.3307871810634834
2,affine_bvse,affine_em_bvse,3,0.3060960404578739,0.0,0.306096040457874
2,bvse_calibrated_delta,positional,3,0.26305918105678644,0.008944712008345073,0.2534717928317333
2,dft_path,crystal,3,0.4984764227243102,0.02269760415016892,0.48199237476739215
2,dft_path,midpoint,3,0.31395301103128176,0.019160029551285058,0.2913648179826162
2,dft_path,positional,3,0.2930713457049641,0.016011988790287906,0.2752908103986272
2,dft_path,trajectory,3,0.35846982956020773,0.007747462103888039,0.34348542318265474
3,affine_bvse,affine_em_bvse,3,0.282504853427949,0.0,0.282504853427949
3,bvse_calibrated_delta,positional,3,0.24541870048590778,0.014067956169686905,0.2337711731978189
3,dft_path,crystal,3,0.41553628171340945,0.008513576929054344,0.40426666601436123
3,dft_path,midpoint,3,0.3162778303583806,0.01582646761690494,0.29754788988765857
3,dft_path,positional,3,0.26657336357253036,0.007205181618469729,0.2500420275333398
3,dft_path,trajectory,3,0.3280859202988646,0.027417325855730926,0.3120087253222406
4,affine_bvse,affine_em_bvse,3,0.3348096439065553,0.0,0.3348096439065554
4,bvse_calibrated_delta,positional,3,0.2844227220529824,0.02998302482106157,0.23848300368916736
4,dft_path,crystal,3,0.49427721481499587,0.003174883836200683,0.486355357669754
4,dft_path,midpoint,3,0.34963715167717835,0.013945761107336887,0.325257611851784
4,dft_path,positional,3,0.3073804757780278,0.01730137849988705,0.28523166174429393
4,dft_path,trajectory,3,0.3562805580404958,0.02269287362203093,0.3138551446689558
