outcome,repeat,n_hops,seeds_a,seeds_b,pearson,spearman
positional_benefit,0,220,23;35;41;59;71,87;93;155;201;803,0.8104150380047305,0.6774719237249455
positional_benefit,1,220,23;35;41;59;87,71;93;155;201;803,0.8006440170799851,0.700088469145681
positional_benefit,2,220,23;35;41;59;93,71;87;155;201;803,0.8489715130163853,0.7341676856584188
positional_benefit,3,220,23;35;41;59;155,71;87;93;201;803,0.8311269823917947,0.7127784383223545
positional_benefit,4,220,23;35;41;59;201,71;87;93;155;803,0.8330186044158447,0.6963953049368037
positional_benefit,5,220,23;35;41;59;803,71;87;93;155;201,0.8586142791897041,0.7612584031600952
positional_benefit,6,220,23;35;41;71;87,59;93;155;201;803,0.8494399960517467,0.7105684001735573
positional_benefit,7,220,23;35;41;71;93,59;87;155;201;803,0.865126009453015,0.7537706451485662
positional_benefit,8,220,23;35;41;71;155,59;87;93;201;803,0.8221118965393424,0.74033685895088
positional_benefit,9,220,23;35;41;71;201,59;87;93;155;803,0.8598430466171704,0.7017789623752557
positional_benefit,10,220,23;35;41;71;803,59;87;93;155;201,0.8682989418859772,0.7472284363501123
positional_benefit,11,220,23;35;41;87;93,59;71;155;201;803,0.8321243334288874,0.7245938590015947
positional_benefit,12,220,23;35;41;87;155,59;71;93;201;803,0.8594730208184649,0.6978299701909695
positional_benefit,13,220,23;35;41;87;201,59;71;93;155;803,0.8299358524789743,0.6821264150837076
positional_benefit,14,220,23;35;41;87;803,59;71;93;155;201,0.8530452696464592,0.7348202160450348
positional_benefit,15,220,23;35;41;93;155,59;71;87;201;803,0.7759287174150996,0.7128505660334831
positional_benefit,16,220,23;35;41;93;201,59;71;87;155;803,0.8560712452618059,0.7008897629364994
positional_benefit,17,220,23;35;41;93;803,59;71;87;155;201,0.841977801882042,0.7345463561418436
positional_benefit,18,220,23;35;41;155;201,59;71;87;93;803,0.8305496925133565,0.7038909519167376
positional_benefit,19,220,23;35;41;155;803,59;71;87;93;201,0.8375563542503043,0.6988014403002316
positional_benefit,20,220,23;35;41;201;803,59;71;87;93;155,0.8734444869658065,0.7205806280745845
positional_benefit,21,220,23;35;59;71;87,41;93;155;201;803,0.8207167935663324,0.6793844350653375
